metabolome_name	module
CPD1014	lightslateblue
CPD1015	blue
CPD1016	mediumpurple1
CPD1017	darkslateblue
CPD1018	burlywood4
CPD1019	red
CPD1020	oldlace
CPD1021	royalblue2
CPD1022	hotpink2
CPD1023	grey60
CPD1024	red
CPD1025	orangered2
CPD1026	mistyrose
CPD1027	maroon
CPD1028	brown
CPD1029	purple
CPD1030	cornsilk2
CPD1031	purple
CPD1032	powderblue
CPD1033	darkcyan
CPD1034	brown
CPD1035	blue
CPD1036	turquoise
CPD1037	cyan1
CPD1038	turquoise
CPD1039	yellow
CPD1040	bisque4
CPD1041	bisque
CPD1042	darkolivegreen1
CPD1043	burlywood4
CPD1044	lightgreen
CPD1045	midnightblue
CPD1046	violetred4
CPD1047	paleturquoise3
CPD1048	thistle2
CPD1049	deepskyblue
CPD1050	peachpuff2
CPD1051	firebrick3
CPD1052	cyan
CPD1053	floralwhite
CPD1054	green
CPD1055	brown2
CPD1056	indianred
CPD1057	red
CPD1058	antiquewhite1
CPD1059	red
CPD1060	lightyellow4
CPD1061	turquoise
CPD1062	thistle2
CPD1063	violetred
CPD1064	powderblue
CPD1065	coral2
CPD1066	coral3
CPD1067	coral
CPD1068	lightcyan1
CPD1069	palevioletred
CPD1070	lightseagreen
CPD1071	orange
CPD1072	deeppink
CPD1073	chocolate3
CPD1074	burlywood1
CPD1075	lightsalmon4
CPD1076	tomato
CPD1077	skyblue2
CPD1078	darkmagenta
CPD1079	lightyellow2
CPD1080	lightcyan
CPD1081	lightyellow4
CPD1082	bisque3
CPD1083	sienna4
CPD1084	grey60
CPD1085	honeydew1
CPD1086	tan
CPD1087	purple
CPD1088	darkgreen
CPD1089	blue
CPD1090	blue
CPD1091	lavenderblush1
CPD1092	chocolate1
CPD1093	plum4
CPD1094	darkolivegreen
CPD1095	peachpuff1
CPD1096	darkmagenta
CPD1097	lavenderblush1
CPD1098	mediumpurple4
CPD1099	mediumpurple
CPD1100	plum
CPD1101	yellow
CPD1102	navajowhite2
CPD1103	magenta
CPD1104	blue4
CPD1105	royalblue
CPD1106	turquoise
CPD1107	royalblue
CPD1108	bisque1
CPD1109	darkorange
CPD1110	orangered
CPD1111	white
CPD1112	darkseagreen
CPD1113	blue
CPD1114	lightsteelblue
CPD1115	mistyrose4
CPD1116	plum4
CPD1117	orangered3
CPD1118	indianred
CPD1119	plum4
CPD1120	plum
CPD1121	lemonchiffon4
CPD1122	plum
CPD1123	lightpink
CPD1124	darkgreen
CPD1125	lightpink2
CPD1126	mediumorchid4
CPD1127	brown3
CPD1128	palevioletred1
CPD1129	oldlace
CPD1130	steelblue
CPD1131	brown1
CPD1132	mediumpurple
CPD1133	green
CPD1134	slateblue2
CPD1135	mistyrose2
CPD1136	darkorchid2
CPD1137	plum
CPD1138	lightsteelblue1
CPD1139	lightgreen
CPD1140	turquoise
CPD1141	darkorange
CPD1142	mistyrose3
CPD1143	turquoise
CPD1144	lightgoldenrod3
CPD1145	mediumpurple2
CPD1146	chocolate3
CPD1147	yellow
CPD1148	indianred3
CPD1149	turquoise
CPD1150	chartreuse3
