module	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
MEbrown1	-0.293379658546231	-0.0978078596533341	-0.184366077737138	-0.143450886863363	0.0368147826580103	-0.110635151227204	0.428025506607382	0.284665725312463	0.238129839920705	0.217381334389671	0.313748777721123	0.336949387715927	-0.0857754712097799	-0.148602532598593	-0.232963496949639	-0.243884232184299	-0.128577305274722	-0.118593181267503	-0.144294834533321	-0.0611236477121091	-0.15448548990522	0.102675095107154	0.14628110420481	0.0432682720252092
MEbrown2	-0.255730104088265	-0.272017957531328	-0.196525101681934	-0.212815067021618	-0.273543488173838	-0.279091809889718	0.0508027369875864	-0.0432469898099069	-0.0287566026609009	-0.0608000656336971	-0.0946534438321531	0.000895936093054994	0.281055055711373	0.300483157582201	0.196940954908942	0.270398881808005	0.36406540468489	0.361845828511611	-0.128196577665358	0.112265366699185	-0.111580021898442	0.0765113911155275	-0.107708086274028	0.0494006020588137
MEbrown3	0.366712172400879	0.115918767379557	0.131183137981666	0.187862685663895	0.337109356529346	0.307539848210133	-0.329621883613439	-0.264003064909108	-0.193668841838078	-0.304365842916679	-0.326345765131273	-0.251021967566297	0.143929710873474	-0.0314525384170752	0.0824509514682714	0.0938589217081556	-0.0284932574830404	-0.113839334600001	0.102205497869408	0.0757607760416733	0.132042257406856	-0.0733253222188874	-0.152332299018248	-0.0081039658211885
MEbrown4	-0.249356953127901	0.143071765911894	-0.230693984285356	0.0564872099880128	-0.385275034853052	-0.107801629064903	-0.111621516056743	-0.170058058378761	-0.107547387226368	-0.0481903234631195	-0.241217482547291	-0.133962848215668	-0.187013826373698	0.364058620334688	0.195700568142689	0.2329940928982	0.324383285584133	0.386717231520941	0.0266518885197748	0.19177843845617	0.0887752198810476	-0.020431911987075	-0.0745670598687425	0.0571196942111296
MEburlywood	-0.0445171251793358	0.177064111012806	-0.129661909030048	-0.0157689830973552	0.114301095422119	-0.205194756864882	0.302169693020176	0.137307584112797	0.289328236629622	0.264989988386479	0.288041060814484	0.413684548622777	-0.286799398927688	-0.130882391301213	-0.232963872192656	-0.289287081042143	-0.0250583253431702	-0.131609513511868	-0.141788326238372	-0.172407272789222	-0.253648572578396	0.00452162794974385	0.0812083668805731	-0.0130287847552266
MEburlywood1	-0.400703816171789	-0.296506979566896	-0.217098117705692	-0.237749470007331	-0.16955546316811	-0.352325002423495	0.153761889484982	0.0450785741279728	0.087160061536748	0.299238235389903	0.0524349559412686	-0.00619655205404705	-0.0461179526623272	-0.115693012257099	0.103569533597592	-0.0467415655824606	-0.107468238518437	-0.0253618289101502	0.189989319625972	0.287520068086943	0.239066442572557	0.0961626039032046	0.102802453646739	0.364733861113953
MEburlywood2	0.14816609924362	0.0155160590449593	0.147024331425808	-0.124783921538372	-0.113784765000521	-0.185304759794758	0.171609074115092	0.444297456084308	0.271941562500851	0.283542382017782	0.0715326619481763	0.322276074667386	-0.232571843720363	-0.312372603333828	0.121651802347434	-0.130419944771874	-0.0794371031400421	-0.0671759378093768	-0.00259891899488584	-0.371324530205155	-0.135996653221742	-0.125342006684162	-0.180666409471455	0.0642218942911213
MEburlywood3	-0.608859512990175	-0.225982556236704	-0.0217926509391185	0.0204335916331037	0.0590350127118149	-0.128652900708998	-0.142059685728539	-0.117486404909573	-0.250377563862147	0.0263253702006591	-0.0330058800094498	-0.148505455840967	-0.149866914688502	0.0394908803769962	0.00659765951098178	0.134785476857317	0.139365704453992	0.0492669719071735	0.413938959421854	0.25195548744844	0.106681960214663	0.12024602812332	0.288141568684887	0.170324854368972
MEburlywood4	0.233014053078324	0.237900935755922	0.268617679063158	0.22325905221946	0.0757074540523901	-0.215076872345763	-0.225761463202609	0.3730398550724	-0.206657072282367	-0.229314672075506	-0.275604185939023	-0.275582093391667	-0.109485426600197	-0.163114630099954	-0.0288011461509086	-0.212873513540427	-0.164384179910888	0.117351417927842	0.107473617725047	0.227440726710307	-0.0872227906284421	-0.0622101803499807	0.179366202967512	0.212917231945367
MEchartreuse2	0.204122781907535	-0.016283914189215	-0.0998811444797512	-0.152787377294566	-0.206223652573423	-0.142659522935989	-0.370937471548243	-0.252501593486626	-0.310114858250985	-0.203740161271386	-0.0758283173747353	-0.316819773797304	0.168749403894769	-0.0260587825701081	0.248949469904588	0.215806892042062	0.194329704843003	0.091255267558909	0.272430656778921	0.232161083228439	0.0262593154198492	0.270049904269695	0.124088874741037	0.125633215183524
