genus	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	regulation
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_WQUF01	0.000249591	0.000256235	0.000194559	0.00018039	0.000192698	0.00018124	0.006864192	0.013942844	0.003001594	0.006760272	0.006050157	0.014008427	9.39944E-06	1.28363E-05	1.44451E-05	1.12978E-05	8.67458E-06	8.04937E-06	1.9033E-05	1.61634E-05	1.17784E-05	2.64072E-05	1.1548E-05	2.96041E-05	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Anaerotignaceae;g_Anaerotignum	0.001655875	0.00085398	0.000614677	0.000389174	0.000527592	0.00034107	0.002214669	0.002190708	0.003050767	0.001661109	0.00139686	0.002419503	6.16998E-05	4.42102E-05	5.19309E-05	3.95594E-05	4.49341E-05	5.71909E-05	0.000244616	0.000254982	0.000220741	0.000175163	0.000387444	0.000273869	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Acetatifactor	0.002285077	0.001431704	0.001099819	0.000887154	0.000817411	0.000712265	0.00138215	0.001773394	0.007648087	0.006541599	0.001604815	0.00156743	0.002833284	0.00214061	0.002756425	0.001947981	0.002505264	0.00120831	0.000346681	0.000508147	0.000556747	0.000793211	0.000969795	0.000344838	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Aequitasia	0.004048306	0.007292289	0.004818218	0.002658006	0.005482249	0.003690312	0.007827099	0.008616468	0.006575979	0.004038648	0.009094468	0.008073582	0.004111608	0.003960403	0.003050116	0.002318056	0.002852118	0.002978336	0.001364207	0.001609522	0.002253087	0.001401151	0.001952692	0.001581713	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Anaerocolumna	0.000309683	0.000151405	0.000141227	0.000142393	0.000142618	0.000117361	0.000885495	0.000763058	0.001810666	0.001497748	0.001359732	0.001351549	0.000290746	0.000243776	0.000274351	0.000523173	0.000215022	0.000257591	0.001228021	0.00021074	0.000319269	0.004821021	0.000255914	0.005513187	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Anaeromicropila	3.58476E-06	2.3459E-06	1.11624E-06	1.41258E-06	1.05905E-06	8.01652E-07	5.33365E-06	5.86263E-06	5.93604E-06	8.28572E-06	2.51605E-06	5.92694E-06	0	0	0	0	0	0	0.001604298	7.32881E-05	0.000223846	0.007579441	0.000196232	0.008968704	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola	0.001669716	0.001726842	0.000828139	0.000645234	0.000733276	0.000482878	0.009678169	0.005850561	0.021846814	0.007528534	0.013878788	0.010131755	0.000338468	0.000620618	0.000255948	0.000596167	0.000301521	0.000258947	0.006669814	0.004605157	0.004734349	0.003152294	0.004815619	0.006052691	Peri
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eisenbergiella	0.001906269	0.001153985	0.001044532	0.001071414	0.000845098	0.000597074	0.000247246	0.000448947	0.000455782	0.000695929	0.000905349	0.000247249	5.69014E-05	7.03739E-05	9.67534E-05	6.65972E-05	6.01586E-05	4.95938E-05	0.000291211	0.001051974	0.000733133	0.00018244	0.002619581	0.00015294	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Enterocloster	0.000466241	0.000351729	0.000280752	0.000233534	0.000326436	0.000211986	0.000211557	0.000217333	0.000423593	0.001298106	0.000292097	0.000264224	0.000270433	0.000335716	0.000244431	0.000335082	0.000242771	0.000248599	0.00218172	0.002428248	0.003097812	0.002108231	0.001840945	0.003276261	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Hominisplanchenecus_A	0.00106838	0.000813082	0.000671729	0.000449081	0.000513548	0.000340702	0.000406528	0.000972479	0.001115622	0.000957037	0.001495085	0.000885199	1.18426E-05	1.42133E-05	1.42519E-05	1.82159E-05	8.80957E-06	9.93384E-06	0.002389354	0.001208206	0.001390575	0.000544046	0.001427335	0.000979069	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Kineothrix	0.000176821	0.000117949	9.06749E-05	7.8248E-05	9.17702E-05	6.48675E-05	0.000247729	0.000345464	0.001109868	0.000575223	0.000770811	0.000387198	0.00204635	0.005919148	0.003471313	0.003746574	0.001241404	0.001154166	0.000140453	0.000141059	0.000202998	0.000180627	0.000266404	0.000292823	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnoclostridium	0.000515459	0.000196179	0.000377944	0.001239729	0.00031145	0.00017112	0.000201862	0.00084526	0.008342182	0.00025511	0.000198155	0.000163074	0.000573578	0.000562838	0.00133991	0.001237855	0.000311628	0.00117341	0.000410257	4.78847E-05	8.03715E-05	0.001900889	7.21826E-05	0.002239298	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lacrimispora	0.001606583	0.001073591	0.000880478	0.000691309	0.000713971	0.000531224	0.004858854	0.003401746	0.008665237	0.004595317	0.009352556	0.00543238	0.000361224	0.00041047	0.000294365	0.0004056	0.000247777	0.000200663	0.009888399	0.006885976	0.008677918	0.004421213	0.010450018	0.008823046	Bger
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Limivivens	7.12801E-06	6.3838E-06	5.80107E-06	8.10732E-06	7.23336E-06	7.69104E-06	0.00091249	0.001115187	0.001210489	0.000978778	0.006207838	0.003398807	0.000428307	0.000291844	0.000630753	0.000242762	0.000458644	0.000738727	1.41795E-05	1.90433E-05	2.12671E-05	5.72344E-06	2.42386E-05	6.74423E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Mobilisporobacter	4.46965E-05	4.07903E-05	3.42652E-05	3.48637E-05	3.36403E-05	3.04809E-05	3.49136E-05	3.32666E-05	3.91268E-05	3.4569E-05	1.20478E-05	2.56834E-05	3.15997E-06	3.54326E-06	2.1612E-05	4.39108E-06	2.32418E-06	3.02592E-06	0.003935533	0.000200526	0.000589938	0.021126477	0.000532944	0.024689956	Bger
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Mobilitalea	0.0010344	0.000446954	0.000525085	0.000404284	0.000435836	0.000469099	0.000472293	0.000584965	0.000922956	0.000554801	0.000926457	0.000572632	0.00038142	0.000415447	0.00067345	0.000478203	0.000719955	0.000440955	0.003927866	0.030412297	0.030305963	0.012645457	0.008827129	0.016426223	Bger
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_NC2004	0.005307457	0.002777546	0.002031052	0.00234019	0.004155755	0.002304256	3.87778E-07	1.42306E-06	3.18189E-07	3.49398E-07	7.53872E-07	6.39349E-07	0	0	0	0	0	0	7.79611E-07	8.42392E-07	7.20445E-07	3.72416E-07	8.07445E-07	1.41056E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Petralouisia	0.000441678	0.000167657	0.000252118	0.000157398	0.000125895	0.000118572	0.000227687	0.000155901	0.000386724	0.001550464	0.000195686	0.000166116	3.15046E-05	3.01579E-05	2.98095E-05	6.84952E-05	2.90581E-05	1.85001E-05	0.001247137	0.008054932	0.005159154	0.000669383	0.00180979	0.001178945	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Robinsoniella	9.77067E-05	5.7016E-05	4.74008E-05	3.59833E-05	4.2265E-05	3.39527E-05	0.006716067	0.001862331	0.003377959	0.00162413	0.00219588	0.005412186	8.06084E-06	2.14689E-05	7.43627E-06	9.41108E-06	5.86913E-06	5.84185E-06	0.00034872	0.00063389	0.000874017	0.000261181	0.00048174	0.000227241	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Roseburia	0.004513241	0.004214036	0.000834926	0.00067154	0.000608627	0.000540422	0.002245569	0.00447584	0.002218949	0.00107134	0.00089937	0.000718985	0.000607123	0.000358851	0.000416314	0.000474486	0.002474527	0.000764889	4.70404E-05	3.66493E-05	5.11236E-05	7.52574E-05	8.43171E-05	0.000121811	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Scybalomonas	2.00461E-05	2.84608E-05	2.4484E-05	3.02728E-05	2.98817E-05	4.75868E-05	7.32016E-06	8.16258E-06	6.51504E-06	1.33627E-05	1.0606E-05	1.31959E-05	2.18711E-06	5.54842E-06	5.04144E-06	4.55539E-06	2.95217E-06	1.58295E-06	0.003938329	0.000336283	0.000703081	0.01634997	0.000614237	0.019924629	Bger
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Sporofaciens	2.49596E-05	2.0749E-05	1.66252E-05	1.60193E-05	2.05372E-05	1.76665E-05	1.44362E-05	2.64369E-05	1.01038E-05	1.39117E-05	2.45291E-05	2.96347E-05	0.00130996	0.001281185	0.002513528	0.007420993	0.0006034	0.000381982	6.85237E-06	9.09257E-06	1.56655E-05	4.6013E-06	3.1437E-05	4.15233E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Suilimivivens	0.000741672	0.000800179	0.000393678	0.000395035	0.0003262	0.000247729	0.000518806	0.001459584	0.001830404	0.002990818	0.002123706	0.000710979	0.004931466	0.007334606	0.009370556	0.007494463	0.005263956	0.006258748	0.000300865	0.000438176	0.00040952	0.00024309	0.0008942	0.000596199	Esin
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_UBA933	0.00032315	0.000324394	0.000134473	9.19606E-05	7.19667E-05	4.93528E-05	1.38376E-05	1.78985E-05	3.63361E-05	1.94165E-05	1.36687E-05	1.71472E-05	0.005637309	0.00894645	0.002696735	0.008591905	0.002282459	0.001371612	8.03644E-06	1.95277E-05	1.43028E-05	3.78786E-06	2.3873E-05	3.85259E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_unclassify_f_Lachnospiraceae	0.005190724	0.003736822	0.002863915	0.002156788	0.002064421	0.001530981	0.006696508	0.006060142	0.017499136	0.008715639	0.010814197	0.008277822	0.002450372	0.003983611	0.003480951	0.003435113	0.002273656	0.001840613	0.023413551	0.020122893	0.020669691	0.062737622	0.021558051	0.078661483	Bger
