species	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Pacearchaeales;f_GW2011-AR1;g_RBG-13-33-26;s_RBG-13-33-26_sp023228245	693	189	212	71	104	82	270	1473	234	404	353	1105	0	0	0	0	0	0	291	211	181	20	319	86
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_SCGC-AAA011-G17;f_GCA-2687185;g_GCA-2687185;s_GCA-2687185_sp002687185	29	105	31	11	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_SCGC-AAA011-G17;f_GW2011-AR17;g_GW2011-AR17;s_unclassify_g_GW2011-AR17	464	150	346	353	225	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_SCGC-AAA011-G17;f_GW2011-AR20;g_JAGVZK01;s_JAGVZK01_sp018302685	54	8	26	94	35	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_SCGC-AAA011-G17;f_JAFCDX01;g_JAHIVQ01;s_JAHIVQ01_sp028717785	181	47	74	81	139	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Woesearchaeales;f_21-14-0-10-32-9;g_21-14-0-10-32-9;s_21-14-0-10-32-9_sp903891505	65	27	33	32	35	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Woesearchaeales;f_B3-WOES;g_JAGLZG01;s_JAGLZG01_sp023131705	20	10	16	20	123	11	0	0	0	0	0	0	158	152	225	159	161	156	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Woesearchaeales;f_CG1-02-33-12;g_CG1-02-33-12;s_CG1-02-33-12_sp017609385	51	21	163	24	107	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Woesearchaeales;f_JAGLGH01;g_JAGLGH01;s_JAGLGH01_sp023144115	889	513	574	309	477	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Woesearchaeales;f_PXDW01;g_PXDW01;s_PXDW01_sp003564925	84	12	16	24	165	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
