wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
lab01	124.380471986525	125.064857468772	132.318805785306	120.34133712162	122.667030304938	123.08315091808	122.82696279454	127.611294897515	124.502388883046	124.165199198893	0	30.531337820336	33.5921508663385	52.5981414674666	24.0889404857215	52.5009673130543	76.9361635123505	68.4779962880804	26.6356808098835	26.1657337480558	51.3101848063843	49.0934468370832	77.8635752790752	75.9037659112992	82.9688995353751	57.0336860657282	69.9418488774611	33.6928207285955	91.1328276688367	50.1599057401168	85.8807844136753	90.3230965929375	87.9906017163132	114.375924538709	74.9754362138332	82.9042930976353	93.5728579255058	94.1715033710195	94.6656384615374	79.9886959034454	110.676811107037	113.691421026512	107.089568704183	128.057326149239	132.273451977219	136.791084764722	117.527610614968	123.317802285672	117.688976339413	97.1178901956402
lab02	132.772065556388	135.877666256278	130.471949601206	131.263591529613	133.262317542761	132.643217772315	128.617107480068	131.934033346678	135.459527953366	133.944089337037	30.531337820336	0	9.62046520039302	45.118638913828	21.3564108501032	31.1426528764547	68.4131300875447	59.5661078006734	20.4538694989804	21.8252319566477	23.5236243768179	25.3788472260632	52.5315368980655	57.0451179907385	62.1834665244775	28.5418951465569	43.5058530901163	5.33474830839342	69.2804316785217	20.1687382325568	56.6388503082407	60.9024324331093	59.4297555559633	85.5701973409314	49.7319782239034	52.75383420157	64.3749250820501	64.4901885626251	65.2145799651125	51.733224648216	80.9865039100099	83.619401592102	78.3795716641208	98.164440316243	102.695890052532	107.360409326742	90.4150346650263	94.3082259158573	89.4044978137152	68.9409429399795
lab03	136.434617632432	139.736823992768	134.04798072112	134.927559110931	136.813596225426	136.377255447173	132.227683251527	135.636924589588	139.14836812626	137.454107044657	33.5921508663385	9.62046520039302	0	54.4602444631671	30.1334346279538	38.7014160925363	77.7655630135136	68.6783816797193	28.6547101718448	16.2057880357704	17.7507173866422	22.6825084891497	58.1016752730583	64.9691112445267	69.4809963779091	23.6104277256689	48.8275522997493	13.5048681561115	76.0557067778551	21.5527909089886	57.392952145394	62.1154107863241	61.9010951940235	88.0244149709383	54.4989491682591	52.0244552054131	64.3034768258855	65.2432804814425	64.1360838092101	48.7698024401808	79.070141342901	81.9846677125024	79.9676188535831	98.895907564809	100.7594095312	104.624674716054	93.2174788607911	95.5039772634735	85.8500987525901	65.6180817295209
lab04	115.950029129618	118.624634539657	111.799998519227	115.361194868203	117.653755127477	115.83954278734	111.628793433612	113.838838297236	119.12745897844	118.222802908262	52.5981414674666	45.118638913828	54.4602444631671	0	31.7239467947176	33.4160822704001	28.9716527700208	30.5362967281152	30.0404266460011	63.3157927986089	62.5731276183614	56.1851775562819	46.8031684661646	30.996256824594	39.8430135417302	64.5932674649934	43.0849476981495	41.2405476445149	47.0238671881026	47.9889609425448	66.3561425458134	68.1208533441931	61.6086705838805	83.2600903702865	43.4602978318594	70.0031763071401	74.9672794928214	72.7823227006242	79.6508592530486	75.095945645244	96.2819077328701	97.9974436570206	79.3519436127798	101.600935873066	115.421532660858	123.02059428932	83.0481092522349	94.72303267507	109.183281441536	90.2579580075597
lab05	126.575650165152	128.396273464925	128.069333379008	124.165669685873	126.490898959172	125.886683525679	123.48237974369	127.112339218857	128.268684176853	127.542599248461	24.0889404857215	21.3564108501032	30.1334346279538	31.7239467947176	0	29.9653937317282	54.7335261894051	46.0027538674182	12.6982472274309	35.0847896509142	44.5050087817533	43.1173511171999	55.3161141903871	52.1570495311867	59.1748577957969	49.027974848221	48.2542998016442	21.145692112987	67.702371614517	36.6836771176917	69.6038936936655	72.9035224463144	69.2482223572072	94.081868003761	55.2734051319698	68.1481769896007	78.2072486670535	77.0764079723192	80.4985999309588	69.6455983379465	97.0045358151329	99.1978625338228	88.8896307562818	109.599387059695	118.344122008489	124.049095679654	98.0458662517802	105.050727152804	107.239587588852	86.8021978941823
lab06	143.769174790993	147.12259806315	136.742744269424	143.288904406952	145.41864046366	143.901335583751	138.824960280463	141.044555071482	147.271420834459	145.886862449988	52.5009673130543	31.1426528764547	38.7014160925363	33.4160822704001	29.9653937317282	0	44.5906378002417	33.9095180998613	34.1065645421568	52.2816779746517	41.7721579597113	46.1973555009065	26.7326068246571	31.2914652605909	35.1438049404069	43.3335112674397	21.4072238960251	27.9705535223318	43.9937959418538	29.693802580793	51.2295288655257	52.0939570877402	47.8025170936047	68.0711866904264	37.9642920597727	50.1915628552816	60.3335864649782	55.9996354650005	63.3348712391659	58.8681538335879	78.5833016393754	79.1241006218761	67.2283159545944	84.6867117956024	98.9210895745497	105.414695145675	76.3331312523883	82.32269994718	92.6213648291363	74.0204088659545
lab07	134.44161168837	136.803889658669	127.620709858468	134.403903102022	136.749827182654	134.386508782235	130.036078939698	131.332131873626	137.777645081959	137.231051019694	76.9361635123505	68.4131300875447	77.7655630135136	28.9716527700208	54.7335261894051	44.5906378002417	0	17.3308969744482	57.1451277233753	88.1788788904024	83.5046346028859	80.7965375664155	47.9549436903415	27.5535804860363	33.4070428512578	84.7025684533239	50.1965346559207	64.63623022467	40.2939150695263	68.5186337620698	78.5894759866888	77.7857949283571	70.1783781690524	83.0844888107513	55.3643510683884	83.2828153557197	86.9671719975029	81.9944336848471	92.4699566819681	93.1282376066199	107.270083667568	107.356979412847	85.351881725077	103.410067802304	124.249935826226	132.748183621341	85.2919696834368	98.2889701594797	123.136068120439	106.320790637847
lab08	144.04091031153	146.067192320648	139.221593356679	143.189505149307	145.614168864444	143.727527056552	140.034405338223	141.965051429779	146.791435651043	146.325544299148	68.4779962880804	59.5661078006734	68.6783816797193	30.5362967281152	46.0027538674182	33.9095180998613	17.3308969744482	0	51.7587411865181	78.9826687847888	75.0443945376305	75.890852560609	42.8949623538058	29.7454256582482	34.8936211220156	76.8128818176421	44.6201600037588	56.592744475094	44.322834214858	61.749879328654	76.7515897439988	76.0553218604731	69.3784251282878	83.1884818374633	56.3478306212484	79.1037228551772	85.6382466858333	80.1147984426605	90.2686964488599	89.3406075859076	105.042698507231	104.863990740489	86.3340685629502	102.941683171828	123.276369434563	131.089244582322	89.3882244128055	99.8318373490325	120.891221565217	103.419938884832
lab09	116.486040556694	118.996284012947	116.574234470041	114.662332663118	116.845433820836	116.097677067558	112.8498005564	116.314005615275	118.799125170134	117.678978071775	26.6356808098835	20.4538694989804	28.6547101718448	30.0404266460011	12.6982472274309	34.1065645421568	57.1451277233753	51.7587411865181	0	34.0057623458057	41.8286194252792	35.1646046660071	55.9874511880796	51.788053883471	59.0904928424926	45.8054223418652	47.9671577905158	18.6746930377367	66.3334015601857	32.7095385943345	64.1944872375847	68.2694323604626	64.6775865279154	91.233005701762	49.5961655208521	63.8043668873628	72.3515590881303	72.5539993190956	74.7959956640896	63.2532616137389	91.6838627253344	94.5463915610428	83.6985594643693	106.121743329666	112.768343256307	118.538182652708	92.5197102051691	100.060984345801	100.859320031998	80.3090285873579
lab10	134.406847342794	136.840703925977	136.677350717575	131.77693027185	133.696716965037	133.900501314381	131.309159358034	135.492669667242	136.015769978727	134.658321472026	26.1657337480558	21.8252319566477	16.2057880357704	63.3157927986089	35.0847896509142	52.2816779746517	88.1788788904024	78.9826687847888	34.0057623458057	0	30.9294232687379	32.6489694743057	73.7426836259097	78.7065192131863	83.9889815177336	36.8205743488299	64.5840287030295	26.5507954888099	90.9054129845276	37.2554529327301	72.3873791123239	77.5190294789643	77.4848863410857	104.021793676174	69.2121882250931	66.9146058527892	78.7654284182135	80.5558122896239	78.1773999917522	61.151772259404	92.6326212761789	95.9872450962198	95.17872864209	114.368907224702	114.062853717425	117.254544104411	108.344323815488	110.673437283172	97.2995804507308	77.4053229267908
