MetaB_module_ID	module_color	module_name	metabolome_name
MetaB_M015	bisque4	MEbisque4	CPD3586
MetaB_M015	bisque4	MEbisque4	CPD3608
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD0038
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD0127
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD0497
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD0811
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD0901
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1078
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1096
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1337
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1559
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1663
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1690
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1698
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1737
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1834
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1878
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD1969
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2122
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2194
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2271
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2339
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2408
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2543
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2613
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD2848
MetaB_M016	blanchedalmond	MEblanchedalmond	CPD3255
MetaB_M017	blue1	MEblue1	CPD0210
MetaB_M017	blue1	MEblue1	CPD2278
MetaB_M017	blue1	MEblue1	CPD2619
MetaB_M017	blue1	MEblue1	CPD2953
MetaB_M017	blue1	MEblue1	CPD3248
MetaB_M017	blue1	MEblue1	CPD3316
MetaB_M017	blue1	MEblue1	CPD3332
MetaB_M017	blue1	MEblue1	CPD3500
MetaB_M017	blue1	MEblue1	CPD3596
MetaB_M018	blue2	MEblue2	CPD0250
MetaB_M018	blue2	MEblue2	CPD0280
MetaB_M018	blue2	MEblue2	CPD0746
MetaB_M018	blue2	MEblue2	CPD1155
MetaB_M018	blue2	MEblue2	CPD1195
MetaB_M018	blue2	MEblue2	CPD2045
MetaB_M018	blue2	MEblue2	CPD2068
MetaB_M018	blue2	MEblue2	CPD2237
MetaB_M018	blue2	MEblue2	CPD2457
MetaB_M018	blue2	MEblue2	CPD2548
MetaB_M018	blue2	MEblue2	CPD2834
MetaB_M018	blue2	MEblue2	CPD2972
MetaB_M018	blue2	MEblue2	CPD3040
MetaB_M019	blue3	MEblue3	CPD0468
MetaB_M019	blue3	MEblue3	CPD0675
MetaB_M019	blue3	MEblue3	CPD1380
MetaB_M019	blue3	MEblue3	CPD1551
MetaB_M019	blue3	MEblue3	CPD1668
MetaB_M019	blue3	MEblue3	CPD2061
MetaB_M019	blue3	MEblue3	CPD2420
MetaB_M019	blue3	MEblue3	CPD2596
MetaB_M019	blue3	MEblue3	CPD3075
MetaB_M019	blue3	MEblue3	CPD3434
MetaB_M020	blueviolet	MEblueviolet	CPD0148
MetaB_M020	blueviolet	MEblueviolet	CPD0201
MetaB_M020	blueviolet	MEblueviolet	CPD0281
MetaB_M020	blueviolet	MEblueviolet	CPD0298
MetaB_M020	blueviolet	MEblueviolet	CPD0412
MetaB_M020	blueviolet	MEblueviolet	CPD0566
MetaB_M020	blueviolet	MEblueviolet	CPD0584
MetaB_M020	blueviolet	MEblueviolet	CPD0630
MetaB_M020	blueviolet	MEblueviolet	CPD0729
MetaB_M020	blueviolet	MEblueviolet	CPD0778
MetaB_M020	blueviolet	MEblueviolet	CPD0815
MetaB_M020	blueviolet	MEblueviolet	CPD0848
MetaB_M020	blueviolet	MEblueviolet	CPD0882
MetaB_M020	blueviolet	MEblueviolet	CPD0896
