ID	AB1	AB10	AB2	AB3	AB4	AB5	AB6	AB7	AB8	AB9	CB1	CB10	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	FB1	FB10	FB2	FB3	FB4	FB5	FB6	FB7	FB8	FB9	HB1	HB10	HB2	HB3	HB4	HB5	HB6	HB7	HB8	HB9	WB1	WB10	WB2	WB3	WB4	WB5	WB6	WB7	WB8	WB9
neg_15664	19.2961353966689	20.3331053625341	16.9686071757315	17.825388131778	18.2120520819028	20.3640254037336	18.2714674806937	18.3220899663335	19.269577592221	17.6660982636767	14.4597171393586	17.9811570051068	15.2145969881629	16.277114804615	17.6669008078649	14.458614433638	16.8121462627642	19.2973787282308	16.4062272230969	15.3042623238445	14.5273796929491	12.9438994565863	16.8717275397969	15.8498050656892	17.36147722908	18.0235935509911	17.3029329924965	19.8179059671411	15.9755713851754	17.9428917436992	13.3970576272474	13.030563763306	13.8960364564433	16.5851541031236	14.9171331095903	16.9322600569758	16.8314481251108	13.3573309196802	15.2350288617381	17.3113115473927	17.1661538774314	15.7877020484347	15.4198002582181	16.8755182708884	13.2764476957683	13.2243809956744	16.5390378471653	17.1831887430654	14.7456613894731	18.5934208419597
neg_17583	22.1928105401423	22.0320818968619	22.4286598635573	23.1628636831075	21.9055627681181	21.9637879269609	22.2998452197488	22.411684428582	22.5590707431355	22.1294459829817	24.8163537252309	25.8818002129843	23.4188905352002	24.6442001058259	24.40758772806	24.8023929885131	25.4645425387801	26.0589489448516	25.9023613683451	25.0392797316155	24.7215400589026	24.1857318233099	24.5600239889448	24.7927940741141	25.1741537647141	23.7236061013283	26.1670883141521	26.9362690723184	25.4324558143855	26.5497937396818	25.066674213687	25.2312560554639	25.2409243543879	27.1715663307207	25.023007524535	25.5136698262422	25.3937782638849	24.9208862222441	25.7382482213942	25.510332211316	25.6544582191583	24.5069141627052	25.7737861895017	25.4535096778823	24.0055442463454	24.5428254224747	25.454023314224	25.5787069142457	24.5233239710641	25.7850249770581
neg_22513	14.6606953413356	14.5137669771904	14.2673895266237	15.6196080349865	14.4245843584563	14.3405543629939	14.3006841547328	14.8998484714999	15.0029194332095	14.234060727723	15.6047813227224	16.8531992690937	15.0854757339559	15.8835498929465	16.4851979017118	15.1348614067776	16.356656275136	16.4790039698267	17.0385831992026	19.2105370129505	19.1448610699769	16.1200625237032	19.6131803274188	13.759312193526	15.8442538806306	19.7781134122804	16.3527529953824	16.9576681535828	19.9285969520047	17.3148410942954	15.6954094700097	15.9368239785419	21.1718036145092	16.9296045954122	15.5653474302237	19.1716633402233	16.4286105578288	20.1898149765215	15.9963345103173	18.8676424997293	16.5434272632956	16.1755119774296	15.727036508651	15.738580842312	14.9863654836512	15.4833936856667	16.727925557099	19.9900466446386	15.6234810837232	16.6067624844688
neg_19570	22.2275482508685	21.7043596568381	21.5154969272217	23.1673426888925	21.7995549728653	21.4697126992466	21.8302726322121	22.3730654290976	22.6210082529205	21.5879792817501	18.427198915627	19.4050722830918	18.1936072870022	17.3092697510019	19.8390746901354	20.8619966636142	19.6662036304875	20.2330591769369	20.0285490064805	23.0316797799721	19.5230024485393	18.4731356949515	18.737875496594	18.6126064876873	18.7742569099643	20.1992150302926	19.0750752382025	24.2841894329991	22.6463275657976	20.9723261207873	18.8310734936832	20.1968302092899	24.6739202103837	19.4958873232889	21.3443396725418	18.8992620169283	21.1021308376748	23.6419406951277	20.8417536022813	19.7029117948465	19.2914291166103	19.2607341174866	18.0578724423645	19.2678975186641	21.6789201879774	18.1754382026423	18.8020085424954	23.6670746602647	17.1767922121809	18.4604473142037
neg_21498	18.6853311352057	18.3177361534849	18.4866980344329	19.4791837849176	18.3719021678066	18.1405296824173	18.5926569835346	18.8031347752497	19.0136073665242	18.3773390117283	21.1729564669521	21.6385786879115	19.8707462757672	20.8097714205454	20.6282474482485	20.2745234331065	22.4038239787688	21.9876952056766	21.5470219655969	19.6317000723331	19.3715868151616	20.3255476076146	20.522207810219	19.1511017287504	20.9193188003584	20.7291278236803	21.7987382066661	20.2517992355591	20.537202788033	22.7355409312371	20.1407007131679	20.1711487553756	18.7831983071237	21.6986502546754	19.6934261185532	19.9998674475697	20.9479538801565	19.3852745950041	20.4407308493236	20.1872485094157	21.1549265666342	21.0570647865163	21.1546269401591	21.9858843178124	19.0401939446524	18.9812537433286	22.1660940687744	19.5271894956397	20.0381129185353	20.9369514357863
neg_22048	17.527276359693	17.547734042493	17.3949325540935	17.5551939834015	17.3431589900452	17.3967942604243	17.5691291898813	17.2866508355013	17.3273667140748	17.2575405481976	22.3672358881515	22.1826919896142	21.4093020785364	22.9734935029485	22.3325977144126	21.5322845076699	22.25973158923	22.3957120096921	23.6773546032389	22.5394191919189	22.7110804497009	22.3492302573356	22.8582462464609	19.5541446385314	21.7766163923106	20.7836717562719	22.1654487244035	24.364575013703	22.476506255605	22.4590068144884	23.2162153290653	22.9705580337876	22.1754072179175	23.788239443438	20.9666492563031	22.4839721753358	22.5221825522892	22.5542831830309	22.2326174548609	22.3337600947602	21.9837919784916	22.8649473849158	22.1580875105445	21.8786316493046	20.6427542188792	22.8041455740402	22.0562823870681	22.1562302580413	22.4794115821925	22.0626003287548
neg_24405	14.5688044736855	15.0134807068813	14.8727534242213	14.428967528206	14.746667538993	15.0693804799822	14.788602128467	14.7843435455091	14.4870557571242	14.7526634753949	18.122578881975	16.2547476997024	15.6910041922403	13.6614535962711	16.1820794946215	17.6687215225542	15.9953639921692	17.4793576472839	17.6835275567613	16.8956256634127	14.2364526459428	14.7348805782426	16.1185775731153	12.5847808015166	14.8660622872525	17.9101516106398	14.1412100014662	17.3968677432032	15.171093592383	16.4684842974987	17.3679922119603	17.1924586955968	16.0783920838505	16.4202286813856	14.9807426351455	17.2963005800778	18.04528698393	16.6430938128669	15.4721522760952	17.5747647071388	16.5411690342208	17.5865019487342	15.9541615417173	17.1480764737619	12.7280241443303	15.733269393129	14.4858138076954	16.3404395095809	15.4976522166545	16.319213168909
neg_2647	15.3784514441155	15.9471526069414	15.2902163239062	15.8815900283755	15.6175000894281	16.0185611817282	15.3702930771156	15.7589867078566	15.5362881370069	15.4163946222429	15.5302478599528	15.4647092075855	16.6130562913612	14.7027733273012	17.0220839777769	17.1231890721994	15.771400287681	17.1617638528747	18.3691025319765	17.1258723756355	15.1624923005005	14.6428355244494	16.235859709615	14.1662526668007	16.2696825488952	19.3875199644291	15.7110318441832	20.1799876731195	16.6263676683958	16.3609715587411	16.862220296091	16.6769752930405	16.7906295202325	15.7474093732694	15.994068375209	14.9836330283545	18.1703034963347	16.5569696794545	15.8130669417603	16.4193231959842	16.4908811738639	15.0505326015391	15.1764242120758	16.5466180336868	14.1989152879933	14.7584022150465	15.1660292689082	17.0684365345963	15.3558832477713	15.9749077504018
neg_4493	14.7733261735492	14.4616573725394	14.4575915929718	15.6400532912654	14.3878954747525	14.3298648758169	14.5519373962117	14.8936449800592	15.0996617613251	14.4280602202232	15.0955187623585	15.9147672065301	16.396473143301	16.6282124689311	15.0803654581334	14.3731301976018	14.7230605653716	15.6954144735035	15.6803440711648	14.3652430772007	15.234033009511	14.006050179677	14.7946910244398	14.9463473214756	14.6760818226498	14.6100194356517	15.0483027036289	14.7669573867801	15.8415176466021	16.2492365990613	15.1380458893412	14.7434232226666	14.6899836360945	17.7880824974479	13.6912052156587	14.8160970921263	16.4095990703263	14.6513552823902	15.8947292925218	15.1077651812702	17.5098890461982	13.7672181774014	16.9508632343513	15.782138078024	17.699103073388	15.4038077413605	17.3726727908129	14.8186367947563	14.6968257212456	16.8428828859513
neg_6925	15.1020878475318	15.0276512935879	14.9480314419271	15.8763113337216	14.7502433088284	14.948454075872	14.9895699623696	15.2381817246388	15.4027714329183	14.7851104153988	18.0029997161618	16.520393358792	16.9287738568695	14.7121392342503	18.3388510394612	17.4276405081405	15.7076786971574	17.0172191711834	16.1921640913535	16.7867149519456	16.5793156318618	15.9158860877815	15.5197473086923	16.3466353261041	17.6132596326433	18.8037302297121	15.3580413324816	19.4254495015929	16.7813014960701	19.4510205481748	17.5632125551863	18.5233068539093	16.976400880217	18.2065544226436	19.4507394203785	17.4004662446001	20.985708396193	17.0598250421481	19.0487911433606	18.9727109505638	17.2483927828254	17.0088559265499	18.8489961917451	16.9566418596729	14.3687953930951	15.9798684446784	18.5521731188662	17.4527923412367	16.4786404838968	17.7622287812085
