module_ID	module_name	category_C	category_B
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Central carbohydrate metabolism	Carbohydrate metabolism
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Central carbohydrate metabolism	Carbohydrate metabolism
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate	Central carbohydrate metabolism	Carbohydrate metabolism
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	Cysteine and methionine metabolism	Amino acid metabolism
M00344	Formaldehyde assimilation, xylulose monophosphate pathway	Methane metabolism	Energy metabolism
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	Methane metabolism	Energy metabolism
M00346	Formaldehyde assimilation, serine pathway	Methane metabolism	Energy metabolism
M00356	Methanogenesis, methanol => methane	Methane metabolism	Energy metabolism
M00357	Methanogenesis, acetate => methane	Methane metabolism	Energy metabolism
M00358	Coenzyme M biosynthesis	Methane metabolism	Energy metabolism
M00363	EHEC pathogenicity signature, Shiga toxin	Pathogenicity	Gene set
M00364	C10-C20 isoprenoid biosynthesis, bacteria	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides
M00365	C10-C20 isoprenoid biosynthesis, archaea	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides
M00366	C10-C20 isoprenoid biosynthesis, plants	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides
M00367	C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides
M00368	Ethylene biosynthesis, methionine => ethylene	Cysteine and methionine metabolism	Amino acid metabolism
M00369	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin	Other amino acid metabolism	Amino acid metabolism
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00371	Castasterone biosynthesis, campesterol => castasterone	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides
M00372	Abscisic acid biosynthesis, beta-carotene => abscisic acid	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides
M00373	Ethylmalonyl pathway	Other carbohydrate metabolism	Carbohydrate metabolism
M00374	Dicarboxylate-hydroxybutyrate cycle	Carbon fixation	Energy metabolism
M00375	Hydroxypropionate-hydroxybutylate cycle	Carbon fixation	Energy metabolism
