gene_set	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko00740	-0.15056804	-0.159568152	-0.158964339	-0.020745788	-0.109487494	-0.067677792	0.057637511	0.047220299	0.050370465	0.016039374	0.054620423	0.065233235	0.036630812	0.075311143	0.049872117	0.079159883	0.030910471	0.03859188	-0.035327079	0.097527706	0.007522204	0.086570465	0.01788251	0.050706232
ko00750	0.125274849	0.181646261	0.185217073	0.147054841	0.118162011	0.182783254	0.209954495	0.120059906	0.244805832	0.140406234	0.147533431	0.17089611	0.138046409	0.105461895	0.202125938	0.1229682	0.089598349	0.069425045	0.154076646	0.011483349	0.128924096	0.083169976	0.061541662	0.120610513
ko00760	0.110168252	0.117859031	0.131904735	0.133256638	0.098183316	0.122482771	0.131551217	0.137255038	0.110797373	0.094652595	0.127424338	0.124802916	0.180398016	0.164616321	0.178715817	0.195388989	0.133659856	0.156233395	0.11908157	0.116099541	0.149786754	0.130142443	0.113816557	0.145550586
ko00770	0.170195918	0.224774082	0.206024526	0.231151255	0.201924551	0.193331436	0.208163885	0.166332003	0.198821233	0.202598482	0.209314408	0.187768682	0.256275325	0.252886229	0.261368761	0.272869426	0.205265213	0.275756098	0.295691943	0.245537929	0.216156193	0.238541545	0.206527785	0.268721686
ko00780	-0.040984634	-0.00692307	-0.035358784	-0.028920394	-0.073427782	-0.028229578	0.027845742	0.076589161	0.078153752	0.026737063	0.048154675	0.045821387	0.201787388	0.209921318	0.21818504	0.144836058	0.174373733	0.135425379	0.245150024	0.233480595	0.2655574	0.244582985	0.206017851	0.232317264
ko00785	0.145735276	0.209775962	0.197894644	0.17963995	0.195718196	0.139646877	0.20975527	0.185596807	0.20894411	0.193980421	0.20729724	0.22598761	0.232268458	0.228426286	0.25508192	0.238542825	0.200449467	0.21344557	0.219287351	0.191885859	0.219539708	0.17310523	0.195567267	0.188566975
ko00790	0.299696147	0.364639951	0.345650065	0.347565485	0.311451582	0.286589041	0.235670932	0.230132387	0.236071232	0.239263786	0.292680625	0.274400994	0.236116101	0.231198306	0.262666001	0.213902456	0.215996661	0.230220074	0.212552584	0.233541965	0.254003699	0.210902266	0.23978066	0.231907854
ko00830	0.116957285	0.158011763	0.116448332	0.17094765	0.115789172	0.125106545	0.167165664	0.138956389	0.147880237	0.158652855	0.265307003	0.197632487	0.088003494	0.04471637	0.082357249	0.051075329	0.065059602	0.020611704	-0.005690939	0.02562112	0.014883915	0.002746333	-0.013035955	0.003275308
ko00860	0.252138183	0.286756944	0.265024074	0.267281297	0.244153657	0.280997032	0.120312009	0.068953522	0.1003121	0.107669447	0.079970109	0.089612014	0.202108497	0.200424881	0.2127224	0.201804875	0.192239062	0.196516145	0.164331059	0.140673561	0.172406496	0.163284206	0.130571978	0.1800367
ko00900	0.150548466	0.210622771	0.214911175	0.216843681	0.212018017	0.169985431	0.262766113	0.232516939	0.26664137	0.261574842	0.21934712	0.242403601	0.300211874	0.281124905	0.296121217	0.294976609	0.286530691	0.313817349	0.292333258	0.279862529	0.288164155	0.266897275	0.257484079	0.274860415
ko00910	0.327052623	0.266574251	0.232533221	0.283282075	0.347093003	0.216812969	0.211788375	0.085283954	0.223564106	0.140765999	-0.121804208	-0.144019568	0.403926301	0.403854353	0.388697728	0.402730998	0.359579419	0.386699674	0.46288332	0.441660006	0.444307983	0.474796203	0.412874003	0.451900433
ko00920	0.137326489	0.215898654	0.159706974	0.268943821	0.233019404	0.142389161	0.267122604	0.180352367	0.202327226	0.196382707	0.316715728	0.245017354	0.426703738	0.374124246	0.420485589	0.358198861	0.33340429	0.342342612	0.349089024	0.366936037	0.416726381	0.37381649	0.364892262	0.354397955
ko00970	0.124265852	0.123277269	0.135903742	0.125336405	0.112613999	0.120224259	0.12350758	0.162531388	0.16133521	0.109834614	0.134325823	0.129075503	0.145607965	0.138963594	0.177970631	0.161739325	0.137986332	0.151267186	0.1251307	0.094559628	0.113967513	0.124120951	0.101602421	0.119624731
