pathway	cpd
ko00220	C00288
ko00220	C00327
ko00220	C00437
ko00220	C00624
ko00220	C01010
ko00220	C01250
ko00220	C03406
ko00220	C04133
ko00220	C15532
ko00220	C20948
ko00220	C20949
ko00220	C20950
ko00220	C20951
ko00230	C00002
ko00230	C00008
ko00230	C00011
ko00230	C00014
ko00230	C00020
ko00230	C00035
ko00230	C00037
ko00230	C00039
ko00230	C00044
ko00230	C00046
ko00230	C00048
ko00230	C00053
ko00230	C00054
ko00230	C00059
ko00230	C00064
ko00230	C00081
ko00230	C00086
ko00230	C00104
ko00230	C00117
ko00230	C00119
ko00230	C00130
ko00230	C00131
ko00230	C00144
ko00230	C00147
ko00230	C00169
ko00230	C00206
ko00230	C00209
ko00230	C00212
ko00230	C00224
ko00230	C00242
ko00230	C00262
ko00230	C00286
ko00230	C00288
ko00230	C00294
ko00230	C00301
ko00230	C00330
ko00230	C00360
ko00230	C00361
ko00230	C00362
ko00230	C00366
ko00230	C00385
ko00230	C00387
ko00230	C00499
ko00230	C00559
ko00230	C00575
ko00230	C00603
ko00230	C00620
ko00230	C00655
ko00230	C00700
ko00230	C00802
ko00230	C00942
ko00230	C01228
ko00230	C01260
ko00230	C01261
ko00230	C01344
ko00230	C01345
ko00230	C01367
ko00230	C01444
ko00230	C01762
ko00230	C02091
ko00230	C02348
ko00230	C02350
ko00230	C02353
ko00230	C02718
ko00230	C03090
ko00230	C03373
ko00230	C03483
ko00230	C03614
ko00230	C03794
ko00230	C03838
ko00230	C04051
ko00230	C04376
ko00230	C04392
ko00230	C04494
ko00230	C04640
ko00230	C04677
ko00230	C04734
ko00230	C04751
ko00230	C04823
ko00230	C05239
ko00230	C05512
ko00230	C05513
ko00230	C05515
ko00230	C05516
ko00230	C05993
ko00230	C06193
ko00230	C06194
ko00230	C06195
ko00230	C06196
ko00230	C06197
ko00230	C06433
ko00230	C06435
ko00230	C11821
ko00230	C12248
ko00230	C15667
ko00230	C22395
ko00230	C22441
ko00230	C22442
ko00230	C22443
ko00230	C22499
ko00230	C22500
ko00232	C00048
ko00232	C00385
ko00232	C01762
ko00232	C07130
ko00232	C07480
ko00232	C07481
ko00232	C13747
ko00232	C16352
ko00232	C16353
ko00232	C16355
ko00232	C16356
ko00232	C16357
ko00232	C16358
ko00232	C16359
ko00232	C16360
ko00232	C16361
ko00232	C16362
ko00232	C16363
ko00232	C16364
ko00232	C16365
ko00232	C16366
ko00232	C21144
ko00240	C00015
ko00240	C00039
ko00240	C00046
ko00240	C00055
ko00240	C00063
ko00240	C00064
ko00240	C00075
ko00240	C00086
ko00240	C00099
ko00240	C00105
ko00240	C00106
ko00240	C00112
ko00240	C00119
ko00240	C00169
ko00240	C00178
ko00240	C00214
ko00240	C00222
ko00240	C00239
ko00240	C00295
ko00240	C00299
ko00240	C00337
ko00240	C00363
ko00240	C00364
ko00240	C00365
ko00240	C00380
ko00240	C00383
ko00240	C00429
ko00240	C00438
ko00240	C00458
ko00240	C00459
ko00240	C00460
ko00240	C00475
ko00240	C00526
ko00240	C00672
ko00240	C00705
ko00240	C00813
ko00240	C00881
ko00240	C00941
ko00240	C01013
ko00240	C01103
ko00240	C01168
ko00240	C01205
ko00240	C01346
ko00240	C01368
ko00240	C01563
ko00240	C02067
ko00240	C02170
ko00240	C02354
ko00240	C02355
ko00240	C02376
ko00240	C02642
ko00240	C03997
ko00240	C05281
ko00240	C05822
ko00240	C06198
ko00240	C11038
ko00240	C11039
ko00240	C15607
ko00240	C20231
ko00240	C20249
ko00240	C20253
ko00240	C20254
ko00240	C20846
ko00240	C21028
ko00240	C21029
ko00240	C22509
ko00250	C00014
ko00250	C00022
ko00250	C00025
ko00250	C00026
ko00250	C00036
ko00250	C00041
ko00250	C00042
ko00250	C00049
ko00250	C00064
ko00250	C00122
ko00250	C00152
ko00250	C00158
ko00250	C00169
ko00250	C00232
ko00250	C00334
ko00250	C00352
ko00250	C00402
ko00250	C00438
ko00250	C00940
ko00250	C01042
ko00250	C02362
ko00250	C03090
ko00250	C03406
ko00250	C03794
ko00250	C03912
ko00250	C12270
ko00250	C20775
ko00250	C20776
ko00253	C00083
ko00253	C01209
ko00253	C02811
ko00253	C03206
ko00253	C06570
ko00253	C06571
ko00253	C06624
ko00253	C06627
ko00253	C06628
ko00253	C06629
ko00253	C06654
ko00253	C12441
ko00253	C12442
ko00253	C18293
ko00253	C18294
ko00253	C18295
ko00253	C18296
ko00253	C21391
ko00253	C21430
ko00253	C21438
ko00253	C21439
ko00254	C00024
ko00254	C00083
ko00254	C00961
ko00254	C03683
ko00254	C03686
ko00254	C03944
ko00254	C06800
ko00254	C16753
ko00254	C16754
ko00254	C16755
ko00254	C20444
ko00254	C20445
ko00254	C20452
ko00254	C20453
ko00254	C20499
ko00254	C20500
ko00254	C20501
ko00254	C20502
ko00254	C20503
ko00254	C20504
ko00254	C20505
ko00254	C20506
ko00254	C20507
ko00254	C20508
ko00254	C20574
ko00254	C20575
ko00254	C20583
ko00260	C00011
ko00260	C00014
ko00260	C00022
ko00260	C00037
ko00260	C00048
ko00260	C00049
ko00260	C00065
ko00260	C00078
ko00260	C00097
ko00260	C00101
ko00260	C00109
ko00260	C00114
ko00260	C00143
ko00260	C00168
ko00260	C00188
ko00260	C00197
ko00260	C00213
ko00260	C00258
ko00260	C00263
ko00260	C00300
ko00260	C00430
ko00260	C00441
ko00260	C00546
ko00260	C00576
ko00260	C00581
ko00260	C00631
ko00260	C00719
ko00260	C00740
ko00260	C00986
ko00260	C01005
ko00260	C01026
ko00260	C01102
ko00260	C01242
ko00260	C01888
ko00260	C02051
ko00260	C02291
ko00260	C02737
ko00260	C02972
ko00260	C03082
ko00260	C03194
ko00260	C03232
ko00260	C03283
ko00260	C03508
ko00260	C05519
ko00260	C06231
ko00260	C06442
ko00260	C16432
ko00260	C19929
ko00261	C00019
ko00261	C00022
ko00261	C00049
ko00261	C00059
ko00261	C00062
ko00261	C00065
ko00261	C00082
ko00261	C00188
ko00261	C00224
ko00261	C00441
ko00261	C00927
ko00261	C01179
ko00261	C01739
ko00261	C01941
ko00261	C03082
ko00261	C03198
ko00261	C03590
ko00261	C03972
ko00261	C05539
ko00261	C12323
ko00261	C16842
ko00261	C17351
ko00261	C17352
ko00261	C17355
ko00261	C20258
ko00261	C20911
ko00261	C20912
ko00261	C20913
ko00261	C20914
ko00261	C20915
ko00261	C20916
ko00261	C20917
ko00261	C20918
ko00261	C20919
ko00261	C20920
ko00261	C20921
ko00261	C20927
ko00261	C20928
ko00261	C20929
ko00270	C00019
ko00270	C00021
ko00270	C00022
ko00270	C00041
ko00270	C00049
ko00270	C00051
ko00270	C00059
ko00270	C00065
ko00270	C00073
ko00270	C00094
ko00270	C00097
ko00270	C00109
ko00270	C00155
ko00270	C00170
ko00270	C00197
ko00270	C00263
ko00270	C00283
ko00270	C00409
ko00270	C00441
ko00270	C00491
ko00270	C00506
ko00270	C00606
ko00270	C00793
ko00270	C00957
ko00270	C00979
ko00270	C01005
ko00270	C01077
ko00270	C01102
ko00270	C01118
ko00270	C01137
ko00270	C01180
ko00270	C01234
ko00270	C01817
ko00270	C01962
ko00270	C02218
ko00270	C02291
ko00270	C02356
ko00270	C02989
ko00270	C03082
ko00270	C03089
ko00270	C03145
ko00270	C03232
ko00270	C03431
ko00270	C03539
ko00270	C04188
ko00270	C04582
ko00270	C05324
ko00270	C05524
ko00270	C05526
ko00270	C05527
ko00270	C05528
ko00270	C05823
ko00270	C05824
ko00270	C06547
ko00270	C08276
ko00270	C09306
ko00270	C11437
ko00270	C11481
ko00270	C11499
ko00270	C11537
ko00270	C15606
ko00270	C15650
ko00270	C15651
ko00270	C18049
ko00270	C19787
ko00270	C21015
ko00270	C21016
ko00270	C22359
ko00280	C00024
ko00280	C00068
ko00280	C00091
ko00280	C00100
ko00280	C00123
ko00280	C00141
ko00280	C00164
ko00280	C00183
ko00280	C00233
ko00280	C00332
ko00280	C00349
ko00280	C00356
ko00280	C00407
ko00280	C00630
ko00280	C00671
ko00280	C00683
ko00280	C01205
ko00280	C01213
ko00280	C02170
ko00280	C02939
ko00280	C03069
ko00280	C03231
ko00280	C03284
ko00280	C03344
ko00280	C03345
ko00280	C03460
ko00280	C04405
ko00280	C05996
ko00280	C05998
ko00280	C06000
ko00280	C06001
ko00280	C06002
ko00280	C15972
ko00280	C15973
ko00280	C15974
ko00280	C15975
ko00280	C15976
ko00280	C15977
ko00280	C15978
ko00280	C15979
ko00280	C15980
ko00280	C20827
ko00290	C00022
ko00290	C00024
ko00290	C00109
ko00290	C00123
ko00290	C00141
ko00290	C00183
ko00290	C00188
ko00290	C00233
ko00290	C00407
ko00290	C00671
ko00290	C02226
ko00290	C02504
ko00290	C02612
ko00290	C02631
ko00290	C04181
ko00290	C04236
ko00290	C04272
ko00290	C04411
ko00290	C06006
ko00290	C06007
ko00290	C06010
ko00290	C06032
ko00290	C14463
ko00300	C00024
ko00300	C00026
ko00300	C00047
ko00300	C00049
ko00300	C00263
ko00300	C00322
ko00300	C00441
ko00300	C00449
ko00300	C00666
ko00300	C00680
ko00300	C00956
ko00300	C01251
ko00300	C03082
ko00300	C03871
ko00300	C03972
ko00300	C04002
ko00300	C04076
ko00300	C04390
ko00300	C04421
ko00300	C04462
ko00300	C04877
ko00300	C04882
ko00300	C05535
ko00300	C05539
ko00300	C05560
ko00300	C05662
ko00300	C16138
ko00300	C19886
ko00300	C19887
ko00300	C19888
ko00300	C19889
ko00300	C20258
ko00300	C20277
ko00300	C20278
ko00300	C20279
ko00310	C00024
ko00310	C00026
ko00310	C00037
ko00310	C00042
ko00310	C00047
ko00310	C00068
ko00310	C00136
ko00310	C00164
ko00310	C00322
ko00310	C00332
ko00310	C00408
ko00310	C00431
ko00310	C00449
ko00310	C00450
ko00310	C00487
ko00310	C00489
ko00310	C00527
ko00310	C00739
ko00310	C00877
ko00310	C00956
ko00310	C00990
ko00310	C01087
ko00310	C01142
ko00310	C01144
ko00310	C01149
ko00310	C01181
ko00310	C01186
ko00310	C01211
ko00310	C01259
ko00310	C01672
ko00310	C02188
ko00310	C02727
ko00310	C03087
ko00310	C03196
ko00310	C03239
ko00310	C03273
ko00310	C03366
ko00310	C03656
ko00310	C03793
ko00310	C04020
ko00310	C04076
ko00310	C04092
ko00310	C04487
ko00310	C05161
ko00310	C05231
ko00310	C05544
ko00310	C05545
ko00310	C05546
ko00310	C05548
ko00310	C05825
ko00310	C06157
ko00310	C12455
ko00310	C15972
ko00310	C15973
ko00310	C16741
ko00310	C22667
ko00311	C00097
ko00311	C00183
ko00311	C00395
ko00311	C00916
ko00311	C00956
ko00311	C02954
ko00311	C03112
ko00311	C04712
ko00311	C05556
ko00311	C05557
ko00311	C06564
ko00311	C06565
ko00311	C06566
ko00311	C06567
ko00311	C06568
ko00311	C06569
ko00311	C07756
ko00311	C15666
ko00330	C00012
ko00330	C00019
ko00330	C00022
ko00330	C00025
ko00330	C00048
ko00330	C00062
ko00330	C00077
ko00330	C00086
ko00330	C00134
ko00330	C00148
ko00330	C00179
ko00330	C00213
ko00330	C00223
ko00330	C00300
ko00330	C00315
ko00330	C00334
ko00330	C00406
ko00330	C00431
ko00330	C00436
ko00330	C00441
ko00330	C00533
ko00330	C00555
ko00330	C00581
ko00330	C00750
ko00330	C00763
ko00330	C00791
ko00330	C00884
ko00330	C00986
ko00330	C01035
ko00330	C01043
ko00330	C01110
ko00330	C01137
ko00330	C01157
ko00330	C01165
ko00330	C01250
ko00330	C01682
ko00330	C02305
ko00330	C02565
ko00330	C02647
ko00330	C02714
ko00330	C02946
ko00330	C03078
ko00330	C03166
ko00330	C03287
ko00330	C03296
ko00330	C03375
ko00330	C03415
ko00330	C03564
ko00330	C03771
ko00330	C03912
ko00330	C04137
ko00330	C04281
ko00330	C05147
ko00330	C05931
ko00330	C05932
ko00330	C05933
ko00330	C05936
ko00330	C05938
ko00330	C05945
ko00330	C05946
ko00330	C05947
ko00330	C10497
ko00330	C15699
ko00330	C15700
ko00330	C15767
ko00330	C18172
ko00330	C18174
ko00330	C18326
ko00330	C19706
ko00330	C20560
ko00330	C22886
ko00331	C00062
ko00331	C00118
ko00331	C06655
ko00331	C06656
ko00331	C06657
ko00331	C06658
ko00331	C06659
ko00331	C06660
ko00331	C06661
ko00331	C06662
