gene_set	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko00280	0.227866329549562	0.239205680402458	0.23340583119346	0.260132898757955	0.245747900604159	0.249656056059114	0.23305268583934	0.252928077895541	0.255711173462936	0.242929109067589	0.250823644734345	0.271566254755303	0.270212247410104	0.279090284982655	0.241275856463463	0.283180064554692	0.246442224471293	0.27637981676881	0.26890437894574	0.27286771987713	0.264691671091995	0.247959751309799	0.256651087238771	0.266308609268796	0.289263644074621	0.280735522710901	0.265708428882929	0.278968485246245	0.265009651391925	0.262114968397584	0.265083387449343	0.261692578994227	0.278460826112381	0.244425788039573	0.265053035852704	0.245181260717068	0.265495916764748	0.295333813542339	0.254331780471261	0.277822210948699	0.245656083920299	0.274857243683627	0.245176720780821	0.241038746707764	0.220095712963729	0.210516086722975	0.277749755276139	0.191208860455103	0.274386951156042	0.260726195007912
ko00290	0.183339302631737	0.267473537395836	0.234125831383318	0.288247554559312	0.244756460989714	0.225230522790398	0.241448060612707	0.268951785392136	0.296121797353855	0.254089893980284	0.360904252626655	0.208675680653408	0.243197360498842	0.161638649666518	0.29817777254052	0.257358715622816	0.209091243573859	0.260041358537578	0.220620923936027	0.331980307539159	0.295486337220106	0.207575809210457	0.182326983626008	0.176703207358476	0.23174361818423	0.199348657300833	0.267152553436412	0.243374567414846	0.197063515070083	0.253607660045614	0.141938943960888	0.268944529414926	0.216112063986771	0.0376485085543325	0.21083260791966	0.22406141106534	0.153249236473824	0.227839535158368	0.225731063279917	0.123783092769643	0.127796825530123	0.205424517111085	0.131133733690679	0.0743055658520919	0.191180518203828	0.0184544480263427	0.224626033125385	0.256917611739185	0.19066247803516	0.274789314296405
ko00310	0.179070391726346	0.174335132371575	0.192805804317859	0.177665045552881	0.181973674506541	0.177904206806088	0.18677748304414	0.174446016176718	0.174510421710606	0.178238787705973	0.198199941183167	0.191336208321545	0.182570437738269	0.197243339327828	0.190009597576147	0.190306253011159	0.193949427436904	0.207778783884613	0.20004308675861	0.197661702427289	0.200453365365645	0.190851466403015	0.18663296209196	0.191630895769575	0.195562199688751	0.202562124038286	0.214089556440713	0.195476171184828	0.215697692690695	0.19111748855801	0.199399066669025	0.200538579517298	0.209823258462889	0.204057664222538	0.192750480679757	0.182757029005739	0.206874084097404	0.2132118536665	0.212667141180722	0.194907970380192	0.195291997792414	0.2062021954791	0.198448632361968	0.194061744477638	0.200261132706043	0.15537354686026	0.198209511955162	0.172342313932425	0.199155662950709	0.197329245689337
ko00330	0.284290621178909	0.301048015725441	0.31128854542924	0.308401724988663	0.308290978208041	0.297545690050091	0.302420672482023	0.315654442543641	0.310135342807139	0.311927384009342	0.290792963277705	0.266077392925742	0.269387418258739	0.282980884886771	0.249201881191709	0.244257135549262	0.238651409560497	0.276571014846894	0.25738124922583	0.262275906435826	0.256412876054463	0.284598968981281	0.259128538829743	0.282213646452443	0.24522399931905	0.290702298119676	0.282658755629709	0.264139718563937	0.281170255242539	0.260619284114226	0.28033159392648	0.265827771865038	0.291937641361845	0.253252159708417	0.281506592293243	0.251393812804981	0.287676250108852	0.301116203802367	0.257785899936235	0.261939372853419	0.243332163102873	0.292797679539182	0.265450593171396	0.249769543951858	0.240469726213057	0.202631662097104	0.284577963199195	0.175874200297134	0.262282455730727	0.245561847877729
ko00340	0.296128385904502	0.313433914038001	0.335934982872392	0.291190605726643	0.295678146452224	0.311005204027183	0.317094994045688	0.293504256142151	0.296785552148501	0.310521574576083	0.368692733931911	0.304647537871313	0.311574565921291	0.356908783187802	0.289953643698574	0.272962898268911	0.24903768932195	0.362922508851659	0.286964988102829	0.303987296661663	0.33878072042636	0.354098393417595	0.315214968503931	0.33563345226009	0.277729690281396	0.346715311496966	0.349074762624137	0.319680440374272	0.337327685970781	0.313112167670299	0.326648965437118	0.311318005203916	0.366103927741125	0.301161519925818	0.340108367064825	0.291206579118608	0.346428138930065	0.352129570547702	0.30533461117479	0.324288918229039	0.316652365293047	0.366094922183726	0.322698055234931	0.313006532188221	0.288936946916228	0.212427942617577	0.337993930756814	0.194272348192341	0.311680042735709	0.294422906836136
ko00350	0.250849382272047	0.292518844054234	0.264538762082161	0.307511402028893	0.265558292874726	0.310833033468296	0.252280893704147	0.295102829290209	0.294094343683333	0.266076846337109	0.20087761056283	0.215635400883438	0.227869678850298	0.243874706434972	0.196944978224065	0.183904885764381	0.198021080461876	0.211405249155437	0.207234916287602	0.197865402660658	0.196639612745716	0.218804198966656	0.211489176935597	0.215721243287035	0.200653830133944	0.221256921765741	0.193206029816878	0.216801166136034	0.215545870058458	0.190379963476347	0.226741836959311	0.222604999231668	0.223050222764409	0.198652024160096	0.222392446895495	0.20489293533676	0.231221094232849	0.220476266318924	0.17679794423066	0.211553419931598	0.191782643494935	0.223143980724946	0.204965258816725	0.180777356291615	0.154845699453131	0.138687543679015	0.20349031875385	0.0966588813464295	0.18397745168801	0.177970722971077
ko00360	0.321594364298745	0.380300241475185	0.361894375905135	0.373268487652278	0.335562567360871	0.395465642297042	0.349435261085791	0.363585002719332	0.363188921435604	0.3452684161875	0.324882253208636	0.325247539564065	0.336024701648448	0.354410569763059	0.303039111147213	0.277975482412036	0.260212633791499	0.334672143063848	0.302669780401267	0.293520900240642	0.307601482726715	0.341900160035872	0.325078750405527	0.316342116296032	0.300583166099894	0.336088424309083	0.307101663863338	0.322226964683505	0.31862789774366	0.295349485407856	0.329326667096054	0.320881292833646	0.336925636902684	0.277283462139999	0.343800227162273	0.291511303550892	0.356213561077758	0.330762348604629	0.286622507483883	0.298610737125244	0.292197779899123	0.336143949931012	0.283029541593978	0.261204466756267	0.259646401321993	0.199836121013019	0.313385907534698	0.133608643179146	0.292953616979281	0.28171461654984
ko00380	0.36380635758911	0.386982632949585	0.399828634230102	0.373694108817598	0.384781718860737	0.400351777357162	0.392969073289969	0.384649654334444	0.373372820472816	0.390930557011193	0.370841280453283	0.377173663016499	0.377207784924485	0.38692848409351	0.337846316357032	0.342991597816668	0.346075829719647	0.38153081899011	0.359345288930545	0.357608673679596	0.366728769621609	0.376450209253285	0.3779395604515	0.368933030546757	0.347473053433078	0.385553868126567	0.369517734755394	0.364972508929805	0.372558749595196	0.349589795457976	0.390506207531794	0.373870110868023	0.391420539773058	0.382965054072156	0.387181906003085	0.376599135399365	0.398763144411701	0.386455344200417	0.366896367493536	0.375728007311905	0.381153103246107	0.390915350296897	0.366837822056032	0.371134790722907	0.352245239222582	0.342478692928159	0.3729402321984	0.290963543116757	0.357492372666959	0.349286140505856
ko00400	0.295370052296372	0.348599683682369	0.365474166778458	0.40738825276863	0.343277385727229	0.363118868261799	0.353649586534015	0.381111278955514	0.36707612745339	0.350756228550266	0.3598161341326	0.326793801704516	0.337142622942621	0.363302378159638	0.340751300635714	0.323189164554096	0.272754094267366	0.327883176600841	0.331972005409932	0.305189205062611	0.314768111996775	0.325442231159651	0.304591922872566	0.300355791958289	0.371437715198475	0.349163433433621	0.320458102791323	0.347660026055984	0.332246560288889	0.308653148429024	0.303636289320061	0.319465847273015	0.325616445636566	0.241541137677366	0.337977554247613	0.270465051939061	0.347889751609296	0.351164730265225	0.27923839755124	0.274567614352563	0.251903778507399	0.299115579962815	0.217068953442595	0.201213322267795	0.252137841347786	0.1754742681107	0.33018505992898	0.156585412168626	0.307247892567742	0.303735659465166
ko00410	0.152255642567836	0.19851304838153	0.166421031044381	0.214516103003917	0.208065807285313	0.214680729470599	0.161135442983352	0.212370850276042	0.210392157590212	0.202338179316107	0.198385025081701	0.253471803152597	0.238602248416409	0.257267508409488	0.199254479578342	0.255500608090877	0.201232984285711	0.232875770697305	0.236944924764598	0.232694969588187	0.212993587712048	0.208673021469132	0.215788780591808	0.226050497246179	0.261897053900981	0.255365472804248	0.21623442078746	0.236560261220378	0.180475121428622	0.215080735765068	0.236183115085396	0.213812213674526	0.22483250208236	0.177296241678022	0.232805448634846	0.19246087092743	0.231609484497004	0.257232336723173	0.184276560114211	0.238530829307087	0.184764448114751	0.207617543911249	0.178674047998711	0.167004408707841	0.13956564923474	0.153423019961728	0.243674572533487	0.056429064013226	0.209105225523894	0.191937152687337
