Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Desulfobacterota;c_Desulfarculia;o_Adiutricales;f_Adiutricaceae;g_Adiutrix;s_Adiutrix_sp023525915	2.188075	2.21068064	4.6521406	3.1336344	1.63034475	1.85791499	1.07260341	1.03717801	1.07292288	0.76846605	1.11256826	2.68269517	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Synergistota;c_Synergistia;o_Synergistales;f_Synergistaceae;g_JAJDJB01;s_JAJDJB01_sp030266985	1.00946779	1.631951	2.24723706	0.76846772	5.09318192	2.78272448	0	0	0	0	0	0	0.2175881	0.4203198	1.5541254	0.5604838	0.4709132	0.5166542	3.2227641	1.3503079	0.25884363	0.504693	0.31623983	0.23738311
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Loigolactobacillus;s_Loigolactobacillus_coryniformis	2.7776077	2.1657298	2.7585585	8.986413	3.321848	1.9709302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_WRHT01;s_WRHT01_sp030267065	0	0	0	0	0	0	0.7289549	0.42782658	0.31890859	0.329759478	0.46027395	1.6275913	0.87583642	0.92981519	0.9056728	0.84760008	1.260358944	1.23630711	9.185982204	0.45749323	0.380346083	0.4619731	0.71377522	0.65291055
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_QVMG01;s_QVMG01_sp010500925	0	0	0	0	0	0	0	0	0	0	0	0	2.6654635	1.96926126	3.7717837	4.91690283	3.42999697	4.83576277	0	0	0	0	0	0
d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales;f_Fibrobacteraceae;g_JAISUZ01;s_JAISUZ01_sp031271785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57905398	3.51938729	0.230731744	9.56150267	0.340911743	4.4177296
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_WQUF01;s_WQUF01_sp009785875	0	0	0	0	0	0	0	0	0	0	0	0	0.45779023	0.36254684	0.31098264	0.39343791	0.67747978	0.265644495	2.5739692	3.6469466	0.56835681	2.9962984	2.2062293	6.085855
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_A;s_unclassify_g_Enterococcus_A	0	0	0	0	0	0	6.2378328	1.84082106	6.0080958	1.77188754	3.6954802	0.77880487	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_B;c_Dehalobacteriia;o_UBA4068;f_UBA4068;g_CALXSV01;s_CALXSV01_sp944390945	1.70112587	1.88383158	0.96057845	0.66263278	3.6589414	11.223929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides_H;s_Bacteroides_H_sp031287715	3.82967606	4.03318034	3.08957932	1.95838644	4.21486412	2.892422955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Methanocorpusculum_faecipullorum	2.0454698	2.9120686	1.6780322	1.2353803	3.6946208	8.422421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Limiplasma;s_Limiplasma_sp004556545	2.845708	2.9512338	3.3594213	3.91076824	1.6889054	3.9381099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Burkholderiales;f_Rhodocyclaceae;g_Parazoarcus;s_Parazoarcus_sp030656215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.974861	0.12958723	0.3569801	0.38031077	0.09288868	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Lawsonibacter;s_Lawsonibacter_sp009911595	2.28967484	2.02011872	2.9073702	3.59493198	3.84968475	3.19438792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Gordonia;s_Gordonia_liuliyuniae	1.14684206	3.2340075	4.8565106	3.35579829	2.41373084	2.54901814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lacrimispora;s_Lacrimispora_sp023437715	0	0	0	0	0	0	2.77704154	2.81806136	4.32344992	0.390872794	5.00305365	1.9212832	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_QVMG01;s_unclassify_g_QVMG01	0	0	0	0	0	0	1.0748975	1.0938373	1.0149807	0.80882037	1.7478253	0.77008194	1.5744272	1.1262585	1.3904002	1.2757484	1.631374	1.239266	0.427819096	0.287869726	0.45866062	0.52662444	0.428304102	0.3072057
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_UBA2658;s_UBA2658_sp023386265	2.27279569	2.91557042	2.58999308	3.63172945	2.09663975	3.55475443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_UBA940;s_UBA940_sp944321925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.833306484	2.400502066	1.877826639	2.311934032	3.624911032	1.891487045
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Peptostreptococcales;f_Anaerovoracaceae;g_Lentihominibacter;s_Lentihominibacter_sp030536355	1.43498253	2.7753039	5.4889474	3.75161157	1.01813443	1.86225366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_sp027692465	2.3561475	2.1159823	0.29026234	7.5375147	1.672313	2.342735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Desulfobacterota;c_Desulfobacteria;o_Desulfobacterales;f_ASO4-4;g_Desulfobotulus;s_Desulfobotulus_alkaliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0.30706444	0.17470229	0.9984275	7.0251265	6.7633276	1.0288554	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides_H;s_Bacteroides_H_sp010501015	0	0	0	0	0	0	0	0	0	0	0	0	0.30358517	0.8696944	0.4555802	0.32601446	0.35181552	0.44135085	1.45647833	2.22422215	1.709905996	4.057628912	1.132976056	2.404429692
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_JAJDIA01;s_JAJDIA01_sp030266465	0	0	0	0	0	0	0	0	0	0	0	0	1.00372967	1.69072541	2.17458183	1.02207776	1.44301745	2.1004179	0.666385408	0.914730528	0.68296505	2.09148846	1.075245316	0.646154508
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Mobilitalea;s_Mobilitalea_sp023436765	0	0	0	0	0	0	0.15771285	6.1640673	5.758944	0.37200716	2.2671428	0.7400017	0	0	0	0	0	0	0	0	0	0	0	0
