Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_Borkfalkia;s_Borkfalkia_sp904374385	0.0629643	0.1394403	0.18765336	0.10289903	0.12193614	0.20341374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_Borkfalkia;s_Borkfalkia_sp949291725	0.16065529	0.20965973	0.23856731	0.16592823	0.15983555	0.25487387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_HGM11416;s_HGM11416_sp015055965	0.2966488	0.3216351	0.25202417	0.15940309	0.34938806	0.32028523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG-1252;g_SACC01;s_SACC01_sp009928745	0.2003409	0.12042581	0.10526892	0.15211147	0.13131587	0.13137135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG-138;g_JAJDHH01;s_JAJDHH01_sp030266105	1.3128725	1.906853	1.3678796	1.2304724	2.8917444	2.6045847	0	0	0	0	0	0	0	0	0	0	0	0	0.3553541	0.39544064	0.23597261	0.40391123	0.3001273	0.5403347
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG-917;g_Limadaptatus;s_Limadaptatus_sp949286725	0.342128424	0.2490717	0.185942365	0.32579607	0.2950006	0.45850165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Christensenellaceae;g_Christensenella;s_Christensenella_timonensis	1.82821	2.9129899	3.65351374	1.90736905	1.5276411699999999	2.50345044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_DTU072;g_CAG-1782;s_CAG-1782_sp012520515	0.04514719	0.13122748	0.12634848	0.039697677	0.064733185	0.058493383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_DTU072;g_CAG-1782;s_CAG-1782_sp023394875	3.391116345	2.240934685	2.826673085	3.951447966	1.851657147	2.796974634	0.7056577500000001	0.49147768	0.536340336	1.140212738	0.49122697000000004	1.11416548	0	0	0	0	0	0	0.27010952	0.290639057	0.259470775	0.146582097	0.480058941	0.28320864999999995
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_DTU072;g_WQYD01;s_WQYD01_sp009781445	0.78201836	0.70334177	1.0053616399999998	0.73922402	0.492036445	0.80670321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_DUVY01;g_BNZQ01;s_BNZQ01_sp026001225	0.41268837	0.43950004000000004	0.7319708199999999	0.37013090000000004	0.79601655	0.55711388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_DUVY01;g_DUVY01;s_DUVY01_sp012512255	0.24234802	0.4508298	0.12401959	0.19699447	0.079424925	0.28707582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_JAIRRW01;s_JAIRRW01_sp031255775	1.5774966959999999	1.555104284	2.4083515699999998	1.50351949	1.54116465	1.64669642	0	0	0	0	0	0	1.9200827500000002	2.2281211	2.99532984	1.72853325	2.23749421	2.07762798	0.46124412900000006	0.432296126	0.385911524	0.235495463	0.695799143	0.796007898
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_Protoclostridium;s_Protoclostridium_sp900761765	2.40675463	2.72075727	2.569385465	2.0461967	2.56336715	2.7775952729999998	0	0	0	0	0	0	0	0	0	0	0	0	0.13065744	0.54230673	0.24386934000000002	0.45973005	0.40150641	0.49868699000000005
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_RACS-047;s_RACS-047_sp013316045	0.34495277999999996	0.40053636000000004	0.68177563	0.30067002	0.28906793	0.5593289699999999	0	0	0	0	0	0	0.22180307	0.15999508	0.28447258	0.12082108	0.16660036	0.16611393	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_UBA10677;s_UBA10677_sp934277845	0.36954517	0.63520301	0.64549159	0.8520735399999999	0.411816386	0.38057629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_SZUA-584;g_JAEWCC01;s_JAEWCC01_sp023460085	0.14672847	0.13747631	0.08122411	0.17643422	0.39764687	0.46794686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_UBA1750;g_UBA1428;s_UBA1428_sp002329335	0.24672051	0.2541331	0.35785097	0.21525832	0.17863965	0.27611342	0	0	0	0	0	0	1.18723704	0.9001313	1.1414254700000002	0.53009825	0.96618934	0.7272604699999999	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_UBA3700;g_MGBC161649;s_MGBC161649_sp910587685	0.50463253	0.4457666	0.31736118	0.14624482	0.7525889	0.751407	0.330392	0.118018664	0.060636424	0.079449475	0.20115225	0.10020279	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_unclassify_o_Christensenellales;g_unclassify_o_Christensenellales;s_unclassify_o_Christensenellales	0.95089797	1.386014416	1.72241037	1.39581153	0.70699126	1.148584585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium_sp023424785	0.2518572	0.5577612	0.256306856	0.41159612	0.50650416	0.42377884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Eubacteriales;f_Anaerofustaceae;g_Anaerofustis;s_Anaerofustis_sp019420015	0.15410836	0.2047725	0.12322451	0.1084052	0.16414484	0.14832248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Eubacteriales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium_sp015547515	0.058996137	0.11976474	0.05503525	0.11143496	0.3141913	0.10191479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Anaerotignaceae;g_Metalachnospira;s_Metalachnospira_sp900553995	0.82204676	0.370005201	0.37997423399999997	0.27042301	0.328905055	0.41423711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Anaerotignaceae;g_RGIG5631;s_RGIG5631_sp017534115	0.3459122	0.22981665	0.27198046	0.2703634	0.5951725	0.644509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_CAG-274;g_CALWRD01;s_CALWRD01_sp947591605	0.17544148	0.23102729300000002	0.103438195	0.27894564	0.20869843	0.13137135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_CAG-274;g_RGIG4310;s_RGIG4310_sp946534775	0.62993425	0.36923554000000003	0.51254469	0.769687684	0.27779354	0.30930175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
