gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K02656	9.988638597	6.555245317	7.221477755	8.317382604	8.361748534	20.609766093	7.755716278	9.319763191	8.452302271	4.361865273	3.255057046	3.343840318	7.418734758	6.178569035	10.078818188	16.593729723	16.814287891	12.335836368	31.8657593	8.950844256	9.898541251	8.44154276	13.33443217	8.337904421
K02657	0.48193479	0.42053901	0.836085143	2.041550367	1.003908	1.03492344	6.76915983	8.062204653	4.7550167	1.07162868	1.715210596	1.434782375	2.293573296	1.785069416	3.113188579	3.68956969	4.300414854	3.942538102	32.679239182	3.568815764	3.117925109	2.588600355	5.189807337	5.491306883
K02658	2.519091834	1.411101304	1.96914988	4.9604841	1.874520145	6.318559828	6.017209166	7.80306514	3.226861633	0.60092637	1.67225574	1.147709937	10.238474084	5.796340058	10.626057018	10.934050434	11.274636258	12.24594534	33.827848285	7.49674518	8.514312511	6.350912125	13.302404258	8.49919791
K02659	0.457060552	0.61902522	0.79001393	2.371833696	0.80192961	1.13361913	6.0746862	8.19260725	2.128254153	0.951345931	0.903294868	0.543514138	1.060283992	0.341153609	0.92411841	0.647799675	0.809854435	0.52481917	22.4810438	0.703733565	0.496288041	0.804073342	0.804745968	0.425225792
K02660	0.53299398	0.160852475	0.775837	2.43537519	1.13225554	0.2916887	4.78913958	6.756535664	2.92016021	0.845815054	1.77740729	1.54407406	1.906904307	1.651849802	3.502449505	3.866051197	3.78285543	2.57408476	27.128685961	3.943595416	3.92464217	3.374753546	6.486707896	6.581069977
K02662	15.51941106	16.434892506	18.334669165	11.0371729255	18.610350447	30.821613322	83.648229398	89.056367657	82.731532195	80.980621123	84.038184983	84.407106518	65.262738707	62.619052582	58.030410002	69.577564937	70.724617442	74.55502965	66.045968889	50.688501908	43.629795979	48.075979482	42.079153672	42.57850722
K02663	2.224996233	2.59540267	3.88200642	4.367256097	3.04844186	7.074561947	10.557631625	15.838395387	12.546461457	7.263142173	10.525282268	7.981132166	5.072307966	4.90236498	7.458500941	14.07183363	14.545833331	7.330214681	24.440546894	6.326734426	4.904525618	9.35461109	6.859917675	5.849065587
K02664	6.306095252	6.684080562	5.055345394	7.726194826	7.026613505	19.153550419	11.516576147	14.005340987	15.019179802	7.876850903	9.23686836	7.110171641	16.020941942	13.348858843	12.750176431	22.573858685	21.383357434	15.547054024	34.300291724	11.903026387	9.452114753	20.814154392	11.53020074	13.02928059
K02665	0.791828424	1.118784177	1.52772237	1.749489781	1.43614513	2.94423371	7.094910562	9.777950066	7.910770283	3.454832117	3.733644935	3.182390688	2.699171808	2.32840984	3.264160605	9.175818866	8.907189555	3.768993172	22.301489729	2.275963187	1.570446586	3.955260867	2.199416019	1.266742874
K02666	48.346486879	28.700433464	42.115433648	47.236062546	52.959087173	47.591121623	25.177560307	32.445367536	24.356270371	20.558901657	21.756753723	20.781846667	28.742683405	22.464915815	24.174047152	32.811207258	35.519568871	31.129829157	56.300464368	39.079214936	37.593915381	57.872900999	37.3774464305	39.260908637
