KO Bger Esin Pame Pful
K00457 0.170139508333333 6.1832581355 0.489897205666667 1.5004041025
K00459 551.272233350683 351.867710849583 415.339754660417 450.76230888265
K00476 0.682656063 0.792331385 0 0.123819666666667
K00479 0.104431117666667 6.27179560533333 0.271940560666667 0
K00481 0.518617147166667 5.6329833815 0.479974021 0.918089065
K00483 16.4611860693333 19.0556527811667 7.40823933983333 12.4799805094167
K00484 7.54623803166667 2.80234569516667 1.963790898 2.656290594
K00507 0.268463877833333 3.93526398966667 0.716291420333333 0.889986863166667
K00508 1.1848706095 1.61016177333333 0.0245819946666667 0.18306312
K00511 0.600689348333333 0.161908393666667 0.0779890125 0
K00518 0.0351255635 3.63269239233333 0 0.174932562166667
K00520 3.93759453616667 4.58256611216667 28.1973970388333 11.687724266
K00523 0.829764139166667 6.8719864945 1.86649113 4.61991915233333
K00525 289.1088774235 407.583773337917 379.095723859 364.360653958617
K00526 49.2081747975 76.2508421058333 31.5620875023333 53.0500768676667
K00527 1.78890900616667 22.3719870625833 10.9759011431667 11.0632452747833
K00528 196.27762863405 291.966644907333 299.201808255067 206.044070779883
K00529 6.2391704545 78.376848029 13.8084934536667 16.5341718393333
K00532 0.349941378 1.4090444765 0.900274644333333 0.862972263
K00533 0.281718940333333 0.848714366666667 1.14250190233333 3.37006855
K00534 0.118646823166667 0 0 0.381595668333333
K00537 140.330146043667 70.1404781271667 74.2585223466667 87.9640304483333
K00540 13.1467073836667 49.122997869 10.2606294876667 8.140733487
K00547 11.13258903555 13.0991686345 2.170164349 4.95892468266667
K00548 560.647066773833 548.27312110825 507.459954379167 539.134396429083
K00549 19.4480329203333 109.756268845083 16.5433857555833 22.8132471481
K00554 499.559036094233 423.854702073533 492.227347919567 455.702336433067
K00555 0.734127138333333 6.96706502566667 5.31701999683333 1.99855702333333
K00556 87.7486015701667 53.5703607936667 74.4447843211667 76.3638553373333
K00557 8.22016574016667 7.6805045895 10.6376061538333 15.6430203293333
