ID	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10	QC01	QC02	QC03	QC04	QC05	QC06
pos_4533	5428.016168	6199.10216	1513.653249	5396.772338	2774.067388	7384.525668	3834.064518	3296.874893	6439.062793	5363.602278	8958.08489	4663.69335	18319.5134	811.6009487	148033.3294	3206.116411	15383.54005	4658.460983	14349.327	8832.517699	8863.383945	3386.105007	2391.456363	3302.538716	2282.595516	10039.60423	1890.887443	6779.76891	570.1349289	5405.582222	142.0210156	3805.243373	3174.775703	1093.702993	435.3684511	4312.556655	3976.813711	2868.480293	3199.430481	1316.620121	1251.291413	6395.024121	877.7561267	21979.05348	4015.418947	9727.973394	6072.606035	3533.252226	7356.5742	5174.194152	8301.855353	10618.24827	8761.850271	10420.6306	8402.156968	10913.40759
pos_4626	2857.253444	2535.874209	1863.113825	3238.807341	3867.302974	4591.545814	2466.825078	2761.025965	2782.012701	2594.398423	7935.587948	46401.07514	8064.223277	2148.726389	15419.41193	48157.22243	8405.476484	20976.44452	9994.791517	35003.86219	15844.3396	10235.87453	6585.354313	16980.17836	9420.922251	30164.34372	31277.22943	16472.71084	742.7209939	11180.68678	13732.66075	42078.24053	30687.63089	5714.417948	3142.056528	6565.316388	4682.713226	7584.604338	9639.073396	27518.96658	71730.96416	11541.20079	5323.138592	29419.07138	8183.771356	7746.193799	3516.151306	3915.782159	10086.31611	3962.070236	11322.30099	12321.16488	11264.3991	12073.10183	11818.60653	14449.32294
pos_4683	600.951876	431.7303329	181.814687	328.4241497	430.247778	558.7999735	131.9115882	273.9451518	355.0976821	277.5487014	75.43467505	21.28364342	59.44392848	38.9221192	86.91909215	83.5985176	0	49.29801914	4.817589978	28.20739577	0	46.39036083	12.15104433	0	47.67446223	0	80.19774467	43.12240276	607.2625078	12.29197974	0	55.42718641	85.30721295	0	0	0	0	0	7170.440894	0	17.75333591	0	0	69801.47763	34.19899225	0	0	7266.868459	0	0	0	32.62225632	367.9921498	22.94505681	34.74904129	0
pos_5563	251393.517	257629.4455	181391.1373	255725.7255	238850.8712	251269.0943	250924.6697	216533.8475	265679.1291	249329.2768	581958.5902	275446.499	619963.7898	178199.2753	622670.3596	366878.4519	219380.9133	233001.8808	718917.8648	554309.2217	370604.0983	696166.0018	440735.2162	589248.0732	432280.0353	91861.8805	336706.3394	609918.0125	202075.0817	607376.7936	282293.8826	492431.6387	325962.7661	454349.4545	361810.6265	493638.3362	484084.6771	365278.6138	418370.3962	547622.1314	384859.8829	705970.5108	600150.1296	146843.7181	440334.6245	690224.5682	179653.4462	236608.5078	658262.1113	277312.5412	378369.7216	379389.6826	373105.0223	360587.9609	366131.518	358965.614
pos_5645	2987.918714	3761.985762	0	2892.826314	2558.350216	5442.563243	3509.842923	3362.159182	4140.545366	2108.579404	20772.52968	43478.76334	7614.986285	24055.97385	5344.100401	6831.577302	27690.09768	6716.070856	12418.74767	39445.20868	59732.12956	27247.3263	32719.88184	12986.60859	21130.46363	27440.44822	15104.07412	69006.68599	5360.495086	31303.53406	55756.28698	36328.06968	35327.56122	28486.73466	39688.96965	26289.47811	20561.31836	12424.75352	50916.16316	19224.28739	44173.18255	35805.41458	45675.15105	29817.46966	18718.28306	21285.66072	7196.40448	7900.283092	7580.483668	10091.29802	19896.6447	16532.32468	14051.66039	14235.56942	17485.75076	19206.33082
pos_7137	1077.344063	510.8813373	0	1384.027121	899.6202329	2245.342953	259.4351662	0	712.2781489	1031.006814	249.6588434	0	3704.128705	2326.503329	1701.780351	3254.782701	4005.877959	1248.357502	3769.937465	1219.905086	937.9470576	3128.430866	838.2266769	0	310.7654646	127540.1357	0	2749.084101	3577.473941	858.704179	448.1443868	2090.844278	2284.6996	725.9941926	0	2233.059806	719.2704499	3386.501747	0	0	0	0	892.4711122	3259.587873	0	0	1048.973845	0	1184.107212	0	1482.362649	3207.117188	0	1462.808076	2679.13972	1539.032851
pos_7196	81529.17251	74641.86652	70111.52188	72379.84539	57646.84645	78302.51801	70828.12549	73456.15497	73508.60417	61451.58629	16438.00173	5389.244379	48763.35828	7229.738347	7651.525152	1946.417993	3270.752086	1774.555097	46271.95268	5813.365046	6789.934934	6724.223464	12659.55781	7375.70486	3141.968431	68170.31894	3631.151511	16520.79525	8747.086645	8218.008202	3393.955418	4500.624856	3849.202557	3587.79644	13301.20108	3085.724809	6778.515489	914.7399443	2800.17323	4714.928761	3270.009924	1078.858437	6794.342129	83610.83016	3503.468512	1130.991178	1563.659756	2123.812698	6024.15003	10055.9365	10624.73714	8651.925812	9887.691632	9001.216388	10475.04172	9896.783043
pos_7268	20580.23435	23088.57292	18471.48412	24186.33	16287.45179	23295.7694	21772.61917	17795.58682	20978.0663	18700.07471	42342.14209	32412.91081	135938.6214	1388.80122	119238.4204	35475.64711	3620.007051	9138.443323	57829.37188	122754.8572	53510.93698	45136.3514	22210.19416	13054.45405	12577.14538	8896.008328	46044.50473	55763.72551	820.5712209	87445.15878	25042.00544	85608.02354	33882.05113	20018.37039	61326.00397	100654.7991	121170.8691	47380.79033	27047.95937	31684.34281	37538.17168	73913.4308	68114.57822	35484.98703	53146.30772	180262.3345	2251.174776	15986.02428	65586.97405	156510.8904	41993.3391	47585.35346	43902.62528	44858.15751	45959.53472	42089.6352
pos_7958	33416.25306	37296.47779	18986.82871	36609.08156	20128.51982	40555.56341	34004.60045	21634.08782	27698.99636	14041.45685	7482.051257	6980.393071	5039.172171	3848.905147	2166.247405	0	0	0	22113.80625	4335.673506	18762.60579	9504.673513	2481.436675	1764.126827	8134.383071	11468.22803	6159.106489	13340.05603	0	9224.581264	7044.796915	9816.168206	43135.94629	4499.842257	9616.262551	4626.065223	5065.017601	3664.206866	7631.471227	4309.841778	282.3852766	8126.977957	12862.26566	3684.477645	1301.468768	8528.408684	1566.993504	2243.147416	3287.010086	2704.331508	4435.401816	7588.166421	5079.110311	7226.76535	10692.64521	9533.702419
pos_8761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1957.817701	0	0	0	7183.609847	8182.869814	3837.005626	402.6132036	0	0	5649.489997	0	0	0	0	1758.638018	19209.08767	16195.7053	1923.087006	0	0	4343.604961	0	1978.930591	776275.1072	0	0	2686.608753	7703.003134	0	7375.609213	11467.10144	1923.152936	0	0	0	12158.74897	8540.973662	8717.543322	11173.59497	8153.892425	8913.01435
