ID	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
pos_15783	161314.771192	130488.970103448	359830.002708824	110014.845466197	79459.1343068493	144986.476013333	221281.503817143	233580.681684536	125265.2136625	95758.5738514706	0	69565.0074470588	32489.7390360606	28875.075391358	70753.7351105263	5891.87662611538	67846.773030303	23350.19202	2528.07548892958	151284.570127778	90792.52664	9485.19031396226	105799.492682162	100575.0997	5302.43817	118641.522713725	37030.5682283721	28483.7749342857	107971.235453659	261034.031616327	41804.9236310526	42752.122088125	18198.4227309091	142837.589980833	142199.96468	226126.991806061	106287.989145625	131905.548958064	63756.3283954839	0	185317.869923077	72885.15222	0	850085.84706	494519.63188	0	0	44791.4630066667	1815561.46165455	2161828.279125
neg_3359	2777.59755024	2202.22761957241	4015.86398938235	1539.02056071831	1973.98419180822	2213.37612358518	3019.32338824762	3284.52027387629	1671.75593820833	1839.77982945588	3214.60365997917	2446.42464023529	44695.4399790909	10193.907728642	6234.30526815789	15102.3596076923	104075.636054545	49262.873060339	1156.7352176338	1789.20292386111	589.7639195	5453.8237169434	20076.0807156757	20600.16607	40629.99864	4558.64975756863	8222.77205469767	2519.48339128571	72910.5158731707	1931.99809616327	13199.6067168421	7181.4027	5850.82737351515	26763.4035966667	7352.27905231111	2963.21753430303	4693.7576025	6389.63307309677	7022.22691309677	6575.49249772973	12328.6560484615	9829.582942	21461.5128531034	20822.6280397	23062.587761	8394.16793666666	18483.6240735714	9108.09737433333	9101.65398218182	6748.686314875
neg_4030	1634.071438992	1862.68544438621	1364.60392514706	2167.63342207042	3452.88512630137	1959.26530638518	2888.85160411429	2356.23395101031	1714.63711616667	3265.49105836765	7517.30123104167	32120.8608220588	65113.6183306061	4536.73353824691	70528.5865368421	194364.364473077	1715.68149215151	89269.0094711864	236598.235853521	1556.72107947222	30938.27037	58570.8635441509	47546.389732973	6075.178402	1720.46959361905	118524.566541176	197189.782506977	5214.53356971429	601.960633770732	5770.96003142857	3469.67619131579	1304.5025255875	14602.9036684848	97991.8215016667	1475.38833444444	281907.005387879	3844.0100114375	244396.517316129	45255.7978735484	37897.238087027	36139.5893053846	3536.422898	9501.27323275862	64485.016993	9397.5094318	940.449876788889	0	21382.7431741667	35096.85805	8307.1765714375
neg_6134	38795.4111472	27551.6178313103	54066.8027176471	32111.6826207042	29607.1053846575	31833.1200148148	37207.3191483809	41318.7164824742	30190.4800908333	30009.2182363235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5570.56613424242	0	0	0	5975.27279135135	0	0	0	0	0	0	0	0	0	0
neg_6483	0	172.389799164138	0	0	35.0732487232877	0	53.6118093009524	0	158.742463015278	0	0	137.954909244118	0	0	0	0	4473.07241884848	645.350178355932	0	222.329240930555	78.11452359	0	637.912922940541	0	0	0	0	0	54059.5555126829	0	318.146620673684	0	0	1581.04499333333	0	8704.5026210303	0	5629.36279645161	0	0	0	0	0	0	0	0	0	0	0	0
neg_7133	15248.44472112	10872.5236758621	27212.7986529412	10491.8657914085	6991.7482130137	15841.7818622222	15754.1039813333	16954.8860705155	8728.39441083333	8346.57530617647	6229.9046025	10235.888835	11025.9091406061	30083.1657701235	16002.9054515789	22352.3006711538	36806.7879621212	22237.4048271186	10619.6106647887	19853.6476547222	26038.54334	12739.0703207547	14825.0777751351	30211.8095	17103.4072985714	7533.32999243137	24456.5408869767	12539.5172903571	22170.5566882927	18055.1231955102	15396.7957605263	63744.081385625	68837.4962042424	26859.3449341667	16770.3403871111	30166.7564812121	3001.5329748125	40655.7894451613	27240.7815187097	13219.7640313513	10636.5484776154	11008.60131	33508.9435937931	35346.473324	74890.78829	9739.84471722222	75305.7716221429	93169.7743458333	68444.6011227273	137274.892153125
neg_7598	24983.76557008	26861.2956885517	53386.2133232353	22440.08869	35867.1873931507	24964.3097014815	34925.4720977143	36318.9378709278	25211.3160058333	34280.4762632353	4955.53901208333	2296.68997529412	2362.94407351515	2698.32604461728	4407.28257268421	3174.52085534615	962.874366212121	1521.92526186441	17303.707403662	14428.0098697222	10678.82732	3725.79694992453	8848.1458532973	5905.056896	7298.11865004762	356.161861937255	4116.19129432558	6236.59265257143	1723.19291356098	10506.8842485714	3155.36395947368	4243.6252134375	7242.46585581818	5891.18060291667	2765.81433764444	3932.22133430303	5675.56717575	1763.76457541935	5257.91592	9408.67225416216	3561.19314615385	4680.956794	11110.2807034483	8982.7023365	2153.86923711	17186.5885783333	4944.469068	116975.0340925	134893.168802727	116239.56340875
neg_8227	2.958186062176	20.5020156288276	0	0	386.712732575342	59.4436098207407	702.094948666667	4.24897607474227	0	399.423246367647	168884.788125	223963.744570588	388977.416033333	78089.0901950617	160772.285655263	353350.110015385	204435.783945455	202076.692664407	743148.47515493	172596.670597222	219947.9071	155226.897758491	744325.638464865	304003.8897	319197.994661905	31511.9434368627	256346.608260465	579662.172860714	100522.375739024	305429.06964898	127447.530152632	289703.34091875	568519.158690909	290315.479833333	98484.6343724444	229426.352539394	138190.663488125	172496.710406452	263339.789632258	115659.192482162	159339.767203846	397993.6808	460990.022151724	517549.76671	149385.94254	302550.859855556	116319.092944286	375261.477583333	108230.89484	332625.29806875
neg_8394	0.187390519792	241.94974989931	0	0	99.1009081191781	0	86.7239386133333	0	0	0.0863984964558823	900.254311208333	0	0	0	4095.00666097368	0	681.642240206061	0	72007.2442985916	514.548747013889	1035.065537	0	0	0	1376.47473195238	0	461.985194613953	0	0	0	0	0	382.383305927273	0	438.215819048889	0	0	0	0	2148.52340983784	0	2792.633046	1471.65705493103	0	0	1918.84690157778	0	1888.76018361667	954.679591318182	1241.42195365
neg_8645	0	0.747269494634483	0	0	0	0	0	0	0	0	546.353211541667	977.929178647059	1491.39046154545	4611.96405651852	0	0.140698567884615	0	0	0	14003.7404272222	41122.70743	1431.25907758491	22866.9273335135	0	515.771806066667	21075.115947451	1316.46513590698	4875.70007425	21429.2517887805	12375.5388783673	13718.2905752632	9381.521543	0	13431.7257920833	7624.55292657778	0	5849.024530625	0	1994.32115464516	762.645501243243	83660.2254592308	19071.649778	9694.34632034483	149052.22818	59275.92775	7452.836096	5.94608145478571	18833.3030413333	0	16625.74964
neg_9044	2825.34271664	1935.79292873103	6535.61518058824	2226.26622973239	3032.66169619178	1757.08590671111	2584.29008889524	1241.63307981443	801.293033777778	2573.57627792647	12935.4154620833	11757.39162	34716.1751042424	2396.66125155556	6739.17998105263	7917.18393638461	0	1471.08875325424	57514.4543467606	5561.67547675	8697.573673	1284.9610985283	25440.6145654054	6734.591725	14595.8913647619	7226.86308392157	8873.66259902326	22007.1247875	502.174415721951	12356.3045228571	1132.97196331579	9120.069942875	68167.4496381818	9587.2524145	29986.5696386667	1156.47019593333	16146.5495275	3144.71747432258	13686.3508449032	1041.68202340541	284378.977669231	19037.909848	52632.7913296552	15606.1000171	5497.0978052	10473.7213291111	9380.59394971429	17964.4610615833	24611.3716781818	6799.430984875
neg_9546	3936.24804528	2888.34435889655	5464.71830602941	3916.03263112676	2023.78360276712	4852.5669082963	6262.91810647619	6365.9007672165	4935.76965597222	2459.67297475	2945.96274285417	1898.20030670588	5250.74474721212	0	0	5041.65804846154	492.011854842424	0	0	4435.31584722222	0	1934.70344169811	50239.4173508108	0	0	35761.5274780392	2096.83759706977	0	552.0263534	735.232708265306	16245.1278815789	0	9465.08045587879	3688.362478	0	882.436095424242	33575.85203625	3982.5532803871	1441.58475251613	15650.3864394595	11415.1321708462	8046.23945	0	0	14948.1232414	138983.778361111	0	0	77618.8879590909	14010.45588225
