metabolites Bger Esin Pame Pful
CPD0302 19.7313900322217 21.5778194469701 20.0928922429446 20.3867997707333
CPD0303 22.6915024234635 22.2976020501181 22.5323639358652 21.7022637221586
CPD0304 27.4367862213894 27.4376408162937 27.6450554324799 26.211078902354
CPD0305 21.58217837923 18.6932567217414 19.8764246409798 20.3656734338145
CPD0306 21.5477942023208 25.046872775065 24.622996410295 24.4400337630412
CPD0307 24.543138286047 24.4126649832324 22.613862116328 24.1775310359136
CPD0308 22.5017155657866 24.9481335571193 25.70670717426 26.4714021648251
CPD0309 20.5120976836308 23.5375415704735 20.4827567375158 22.2902398073037
CPD0310 25.9611828279809 28.1097073704215 25.8427294406246 25.3983435711682
CPD0311 24.308617702493 21.0807118165949 21.9678185976352 23.0515631107475
CPD0312 24.308617702493 21.0807118165949 21.9678185976352 23.0515631107475
CPD0313 25.5869308440343 27.7846560460994 25.9458416121271 25.424666557051
CPD0314 25.2701829583253 23.7125136344071 27.2522382291242 26.8163306838344
CPD0315 19.122448371324 18.7142164447437 22.4623029187562 22.121977503858
CPD0316 24.2389671766359 26.0754157802064 20.7320740569612 20.9416950194501
CPD0317 22.6618709311167 23.5579958419633 23.8961818448192 22.6822309306316
CPD0318 23.9876420713958 23.9419351978914 24.3418974770668 24.2167267205676
CPD0319 28.5966944207484 27.3880436453395 28.6823361698078 28.5447448074333
CPD0320 23.4104650441149 23.2109442364523 22.558459098918 22.9135815188888
CPD0321 24.909328764572 24.9733445227937 26.6335358713121 24.278676485314
CPD0322 25.6632191793924 26.1526911447248 26.8073827315367 27.7323614907957
CPD0323 27.3492454763492 28.4061400111942 26.8395321248363 26.8305315804018
CPD0324 19.0448706973217 20.1879865739549 20.0025484901796 21.3094498784634
CPD0325 22.4115179753387 22.7315347761115 21.5959330982496 22.4085562913938
CPD0326 30.0141279129617 27.6817099953128 29.5940968717401 29.7638881713544
CPD0327 20.842050678158 21.5686048850523 23.0372896131966 22.1287773426249
CPD0328 20.8347483789933 24.5782084674829 21.6659016873007 22.2852465042841
CPD0329 20.5636305711667 20.1534821501186 19.6141961249536 20.643503828381
CPD0330 22.5012212087972 23.255861322764 22.8232416883453 22.8009456078358
CPD0331 26.1554137821942 25.6624679377119 26.5029042303703 26.7798419420306
CPD0332 21.8246359082773 24.4540547966608 24.1810708633019 24.136163701704
CPD0333 24.3991507934788 23.977259300169 24.4671069284037 24.1591613687918
CPD0334 20.7727757123611 21.6761800509788 21.6633676947042 21.6453132896021
CPD0335 24.1944274719212 22.8981433906342 22.8693915899091 23.5199208408548
CPD0336 22.1771562314775 22.6213009642908 23.5143483524725 24.4502745787169
CPD0337 21.5522890347122 19.4162251031757 19.8000235729887 21.4303908709923
