KO	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K15033	0.20509107	0.85140837	0	0	0	0	0	0	0.22990258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.15639288	0	0	0	0	0	0	0	0	0	0	0	0.9691898	0	0	0	0	0	0.76419264	0	0	0	0
K15034	17.784515014	27.45515636	3.42812549	4.680904180000001	19.39461262	6.610009460000001	1.9439705600000001	8.81125418	3.51965264	2.5691536	0.7104936199999999	1.1779878	0.85592457	0.724335186	0.18734705	0.74652102	0.79697433	0.2746105	0.39319938	0	6.09515757	40.238335889999995	20.47082607	7.177286486	13.46276676	8.20318839	6.719420164	0.38188433	1.65780415	6.61038166	0.1602481	3.17857502	1.665357336	0.78448719	0	3.8370671400000003	3.20687978	5.30710114	4.7543593	0.24030845	19.242363114	30.400790904	42.009355404	19.93181011	24.227444638	131.60053356	47.24428891	43.491069308	20.162529470000003	19.8056128
K15036	0.09600011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1701473	0	0	0.23493274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K15051	1.67768439	222.00752014	2.43909393	5.7776575999999995	514.78829449	5.35752822	1.25319715	11.88542369	524.674372903	1.1291438999999999	8.68549201	0	2.30071681	0	0.15166186	3.45557662	0	2.14257447	0	0	107.398951115	20.25889072	5.38021195	407.21800729	17.53645067	128.156927536	479.0259565	870.717994535	494.28167181	289.9993417	0.61393464	0.88798831	0.359867015	0.32341854000000003	2098.9785631279997	1.49718895	1.15822906	1.6325451100000001	4.21384041	1406.62140118	423.561375185	148.56916342	132.135127741	336.399942549	502.789068685	49.347366369999996	336.06086805	153.18206815	367.802170696	428.98551941
K15055	0.93190073	9.867520769999999	1.13923642	0.81001595	5.78857945	2.22766165	1.01348796	0.25816664	3.59928909	1.2031915	0.2998901	0	0.1378878	0.4928017	0	0.50623566	0.49487452	0.07878881	0.2907067	0	2.1384373	3.7906715	6.95634312	34.79456346	3.86980587	23.6288608	17.01700948	15.838674435	35.42767762	22.37169821	0.105628334	0.3282961	0.3945136	0.3551779	32.55581898	0.54307378	1.44278458	0.3095649	0.31919056	11.37345408	51.44006658	50.458544520000004	34.142018294	46.66882015	11.12127956	116.80974532	97.41286155	16.38493115	50.63366181	28.60796581
K15066	1.10480023	1.91882547	1.640228	7.29359843	6.10473015	0.34902266000000004	2.9598500999999997	5.34253512	0.23464994	1.63347496	3.6327726	0	2.1913214	0	1.4047063	0	1.04040104	0.13317394	0.39913224	0.1414631	36.44625828	0.1835539	5.121395786	0.879716926	3.7236520399999997	2.772591265	1.37009213	0.17397222	2.0879688	1.92422685	0.84971005	1.31810208	6.8090491	1.02625702	0	5.7614959	8.90463892	5.127802600000001	0.90644729	0	1.82179553	0.783561481	0.87903538	1.2468641699999998	1.1477160199999998	4.769219769999999	1.02742928	33.44116744	0.7193029799999999	0.38713437
K15125	29.411442814	313.70361535	30.912584099	26.71885974	28.14422951	11.78978116	31.665874063	45.82787521	3.55382354	19.71141211	4.59427533	4.3532791799999995	2.267726726	2.238500666	3.73196487	1.47890867	7.907770994	5.616999606	0.1217046	0.943985604	13.26664698	80.53033748	90.551360174	34.46509784	32.280686001	36.571167562	34.14520011	28.457581733	20.037014006	37.556178226	6.626842956	11.554371872	5.93971895	15.40779312	27.587881749999998	8.19497306	7.72892498	5.63536319	12.052473141	5.57604182	141.057104619	175.708334245	91.443276392	93.553775199	87.590636752	596.753601507	274.702590675	41.12485293	157.75169172399998	87.167412458
K15135	0.0	0	0	0.31300312	0	0.2585865	0	0.13351259	0	0	0	0.52055831	0	0	0.48531792	0.2104743	0.3289944	0.4402282	0	0.35443485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K15171	1.1471201	0.3860416	1.6632921999999999	3.41233535	7.209302	0.22255398	0.9609286459999999	0.66975147	2.20584594	1.04008423	0.28599697	0	0.5961951	0.21994962	0	0	0	0.21295285	0	0	2.6374850800000003	0	4.00601973	3.0599002900000003	5.35744343	7.112635774	2.37034383	11.92009934	2.21734012	5.11399556	0.65570396	0.73524916	0.84931451	0	0	0	0.29961652	0.51646576	0	3.051041393	0.751628446	2.487682916	0	0.52370663	1.77611107	7.41909101	1.17348276	18.30628144	1.14051576	1.34188543
K15172	0.95614767	0.99571163	2.29231328	9.2109643	6.370417799999999	0.4328511	1.3304459899999999	0.7285499	1.4369309	0.75224375	0.13907003	0.07315349	1.11738126	1.10582778	0.16476843	0.10375495	0.4010031	0.43062767	0.09576748	0	5.82521637	0	3.33522324	3.25400145	9.239531060000001	9.13086592	2.25572304	10.586873279999999	3.4257066800000002	5.0684613800000005	0.6821025000000001	2.1640371000000003	0.42396376999999996	0	0.15823774	0.77435985	1.6055085	1.42237259	0.3142357	2.71157753	0.800677174	4.45814242	0	2.1342873100000004	1.35911533	10.33791535	0.60553421	16.89354699	1.23203436	0.8456214400000001
