gene	Human_vs_Wild	Lab_vs_Wild
M00122	0.915592266844554	0.0231241809851915
M00365	0.902692608463788	0.245685248614924
M00030	0.863736779827228	0.662953366949984
M00826	0.829200013896634	0.780130935618707
M00036	0.828901546897816	-0.141105609297701
M00378	0.817342913241301	1.437178660276
M00415	0.805042611232589	0.645657778156659
M00983	0.804477669941301	0.578552311125243
M00926	0.768981432863732	-0.440299752657628
M00009	0.737810032722078	-1.75834658180467
M00155	0.721915618454939	-1.52598091543268
M00613	0.713201349967052	-0.00725237798724082
M00124	0.701711238910559	-0.529930556136236
M00899	0.675349842238486	2.05742712127878
M00033	0.642016888042721	-0.221199039221094
M00149	0.603327146937243	-1.0955800595803
M00100	0.602007790738071	0.0893251311730924
M00801	0.593554460392336	3.48505241789826
M00023	0.568738965711943	-0.248435639500979
M00778	0.558620845402097	1.02403003044535
M00176	0.558620845402097	-1.6216259494933
M00045	0.530298683351998	0.306158379485485
M00376	0.530298683351998	-0.0772354568142205
M00127	0.530298683351998	0.905132715397512
M00790	0.520739775169096	0.102148783633678
M00643	0.515094494267511	-0.0698142068388212
M00171	0.503909281191053	-1.94978157901345
M00541	0.453998896305787	1.87233352311423
M00849	0.453229662109489	1.00890066814406
M00002	0.453229662109489	0.845202984993195
M00573	0.452548699054148	0.0997654460357742
M00950	0.436735546870571	0.109661939949531
M00575	0.426175055409458	0.725898047352152
M00840	0.422210007863796	3.34942591380155
M00154	0.4124473750614	-0.122256882543019
M00123	0.404290018585509	0.0520125725697085
M00026	0.399436090090281	-0.229831402071158
M00142	0.390313823554467	-0.321029144487544
M00032	0.377094016526675	-2.89459917180998
M00877	0.327590781179864	1.21306173608411
M00921	0.323675844634053	-1.17158618566428
M00845	0.31870475626456	-0.602812049073744
M00819	0.296322013535182	-0.109606364731635
M00824	0.287062157663528	-0.124271248032529
ko00983	0.286676347934592	-0.717991153065544
M00112	0.241359556439248	1.09605039902406
M00157	0.237655857799331	-0.389152001248369
M00923	0.199260853074172	0.717184712730495
ko00633	0.188175026977023	0.146481523941552
M00064	0.168143725454776	0.0889418821753096
M00880	0.154001987248444	-0.76936765304035
M00060	0.152271343450555	0.0364979394290777
M00799	0.128825874606197	1.01307418999308
M00861	0.113038438382673	-0.00725237798724082
M00781	0.0753835890168766	-0.227326985453069
M00913	0.0410575229560237	0.146124232863889
M00565	0.0398623758113622	0.682921278146407
M00161	0.0398623758113622	-0.0322031890750111
M00373	0.0304167816668961	-0.13784589992995
M00726	0.0304167816668961	0.566795985978227
ko00450	0.0179157444304163	-0.375661590841357
M00144	0.0169818719123287	-0.621905324849364
M00089	0.0112265341658528	-0.130404599096472
M00811	-0.00513507765106909	0.141105609297701
M00633	-0.00513507765106909	0.391831612682941
M00338	-0.0320616228472029	-1.39814673819755
M00725	-0.0375653245670404	1.35382409268246
ko00365	-0.0375653245670404	-0.0997654460357742
ko00440	-0.0753835890168766	-0.193531813791297
M00624	-0.0758234198526187	-0.248051940232322
M00120	-0.0831179940631409	0.923330989313734
M00837	-0.084450191671126	1.16078199352594
M00783	-0.0942343307055467	0.0520125725697085
M00660	-0.102422286699375	1.9163699488925
ko00980	-0.120178679129845	-2.46025997574581
M00889	-0.122349579084875	-0.109606364731635
ko00830	-0.142304765673214	-0.435932802022276
ko01054	-0.142304765673214	0.772053832895934
M00572	-0.150278477437047	-0.717184712730495
M00844	-0.212841067782757	-0.662966939720211
M00346	-0.212841067782757	-0.712318788485226
M00631	-0.243054440162944	0.475422789031892
M00013	-0.244455198986534	-0.865888853001507
ko02024	-0.245499957666713	0.140523013158712
ko00542	-0.260768863393212	1.19919168326721
ko00543	-0.277225311098021	0.298451301826796
M00579	-0.299841761869209	-0.256397566529408
M00890	-0.326709827442487	-0.716505241176606
M00718	-0.349337207675255	-0.217311121003339
M00805	-0.35420379653635	-0.164377478957933
M00838	-0.35420379653635	0.34384354943379
M00543	-0.35420379653635	-0.267064084516546
M00978	-0.362419243412565	0.905132715397512
M00947	-0.396770882468089	-1.11704323721201
M00580	-0.399436090090281	1.39137343549919
ko00552	-0.401762544156173	1.28963293428777
M00028	-0.406166480790314	-1.51222173421102
M00623	-0.409489875909026	-0.489635092137361
M00099	-0.483296572286399	0.221199039221094
ko03430	-0.498089703943866	-0.227326985453069
M00539	-0.515094494267511	-0.566848865475947
M00951	-0.522711147764008	0.242511599287222
M00101	-0.553225797973637	-0.178691193397032
M00542	-0.55420323562081	0.841426770917069
M00810	-0.558620845402097	-0.744464608253693
M00896	-0.569236445806541	0.736358885034617
M00527	-0.585747866328587	-1.20699684804495
M00152	-0.62811135653596	-0.44322440399381
M00528	-0.639756705874047	-0.722649376354784
ko00524	-0.640465338301667	0.186953134430566
M00544	-0.701711238910559	-0.76931273873167
M00308	-0.737810032722078	-0.46162272894377
M00525	-0.749327607271817	0.905132715397512
M00855	-0.768195678901563	0.0520125725697085
M00098	-0.800276898021387	-0.569963199774362
M00857	-0.829200013896634	-0.868111622159528
M00174	-0.956795396844743	-1.17158618566428
M00118	-0.956795396844743	-1.33989603398329
M00150	-0.968021455257368	-3.72672450990181
M00151	-0.970044487547594	-1.83156131765814
M00095	-1.06220454973115	-0.35568959918132
M00345	-1.07584232752484	1.8409694198316
M00804	-1.13732265259406	-1.56599033834128
M00642	-1.14795385489561	-1.33989603398329
M00085	-1.14964056589842	-0.647499107135748
M00909	-1.2008638439481	-0.391831612682941
M00761	-1.22188858721603	-0.917000379255529
M00007	-1.24529375181821	-1.13911926661697
M00823	-1.2522011760107	-0.645657778156659
M00364	-1.33555139273321	-1.69179279211209
M00833	-1.33617953752074	-1.57211275086577
ko00550	-1.44851472170376	1.09745075226323
M00834	-1.48046742243057	-1.72465696667081
M00020	-1.53902972820458	-0.645657778156659
M00082	-1.54248577178059	-1.47493972446758
ko01055	-1.57230123160732	-0.287030264948973
M00702	-1.57715652517819	0.132795445482293
M00550	-1.5994385764212	-0.446452824579892
ko03440	-1.63956489807555	-0.662966939720211
M00856	-1.64273546933818	-2.24514360251451
M00815	-1.67710309079226	0.00725237798724082
M00992	-1.68075666273013	-2.00814222115114
M00888	-1.68237834604023	0.653887831743319
ko00791	-1.70626722115645	-5.28302748033667
M00912	-1.73100781128248	-1.32848406842045
M00093	-1.73127324371346	-3.41048894228201
M00046	-1.74743368260628	0.679527758379095
M00088	-1.84022135297213	-0.229831402071158
M00793	-1.85649255891321	-0.150970781682131
M00704	-1.87240992977902	-0.15789187084943
M00883	-1.88277143587317	-0.508115703830251
M00034	-1.91748211650426	-0.645657778156659
M00639	-2.02060838265443	-1.73316428448573
M00780	-2.14562268266318	-1.19919168326721
M00039	-2.14619686208552	-2.42461224054283
M00673	-2.19779938174481	-0.875477745282947
M00016	-2.22156564809832	-3.29997965787645
ko02030	-2.25519839236563	-0.936247069225962
M00835	-2.35203396355234	-0.664351850811807
M00895	-2.46310072859362	-0.592901532559988
M00632	-2.48026591023776	0.0357100824205189
M00554	-2.4917253250923	-0.0520125725697085
M00097	-2.56133306629032	-1.13911926661697
M00526	-2.62115260036696	-2.61646123850413
M00021	-2.62115260036696	0.141105609297701
M00344	-2.66133815024863	-0.817474571538981
M00004	-2.68122569359757	-0.135034371543429
M00919	-2.70703569198205	-0.45513817902475
ko00909	-2.78733073398091	0.113052305729847
M00038	-2.84001338649271	-2.32426113114734
M00853	-2.89581361654424	-2.76404027403561
ko00903	-2.91298471535059	-0.483373115185117
M00852	-2.94111622990955	-1.83381657756911
M00886	-2.96410520835642	-1.71350561377435
M00958	-3.00380383721714	-1.15293908311027
M00959	-3.06102946566315	-2.40114517913325
M00746	-3.1068017363024	-6.34708865828086
ko00571	-3.10960447103057	-1.02403003044535
M00948	-3.11611514068774	-4.29620854620749
M00700	-3.27813055507085	-0.325173980931435
M00010	-3.32450618149612	-1.95700140301429
ko00363	-3.33122007692104	-4.85960226341548
M00153	-3.43437965871331	-2.83290635771927
ko00591	-3.44045711230028	-1.55407305484444
M00061	-3.60545532593496	-1.04250565950288
M00827	-3.61907627480416	-2.99751644379987
M00832	-3.61907627480416	-2.99751644379987
M00569	-3.62725646687271	-1.87493862590599
ko02025	-3.7110963125845	-2.01766337969754
M00137	-3.74638102770718	-3.36495200491016
M00714	-3.79962636723347	-2.80253345544082
ko03070	-3.95471956037885	-0.970034352932641
ko00982	-3.9669780540549	-6.90569290684049
M00904	-3.9669780540549	-3.10253003599285
M00006	-4.01539920360284	-0.110007763480152
M00529	-4.01539920360284	-3.86567825673531
