CPD_ID,Bger_1,Bger_2,Bger_3,Bger_4,Bger_5,Bger_6,Esin_1,Esin_2,Esin_3,Esin_4,Esin_5,Esin_6,Pame_1,Pame_2,Pame_3,Pame_4,Pame_5,Pame_6,Pful_1,Pful_2,Pful_3,Pful_4,Pful_5,Pful_6,QC01,QC02,QC03,QC04
CPD2277,4715420.2535234503,1115286.1659321701,3590563.6501544402,2109495.8189202598,9720615.8600000199,11586446.5593371,276331.20716410899,206759.55551717401,282667.36112998001,129368.427860058,289992.33348345401,125947.895804342,1213550.2860685501,500504.26905845501,666300.90472718596,1168000.3157343799,1238261.3455506901,606816.10675683501,1823172.5185666,586690.73002529796,2023596.60406911,1378666.8266695701,508332.15233630902,1066216.3631863401,1225753.57165489,1168421.6419104701,1285342.4998476501,1325713.3825312499
CPD2278,1541430.66723414,267549.06410156202,461363.78758608899,631323.08126701997,3926848.1854206701,3014329.6119391802,51351.693403750702,47182.604062500199,197986.79038438,15251.979491710699,277225.90260606998,3296.2598958394701,0,113353.24907306299,73272.236569918095,426232.53872562997,21049.0829360485,45360.689308541201,120784.59448339901,51743.487211742598,107391.85683326299,606293.56116415304,32561.320089499899,33082.870955664301,647648.10311074404,439202.01411147899,556349.43192643195,568609.55272436596
CPD2279,1602295.14641016,1822659.1387289099,1486743.3549567999,6999754.3744617403,3134580.1271442599,3683531.1419439302,434953.73984765599,1200291.0216979999,893062.55185937404,1149063.1486416,2014375.7031678299,506025.525150239,674088.43433968199,12437933.4707285,7470605.6242604004,6076996.55043751,6099928.2045752099,4036877.3579609399,3412126.7434160202,2398109.6299606902,2535006.1562685999,3450869.6184960799,1409552.1267973699,6277174.4300918002,3458607.11898913,2826367.0474921898,3053598.5566406301,2994673.5405516499
CPD2280,416552.22740693903,1271418.8152920499,1276472.9971385601,2263689.0873900498,1239662.0179773699,496593.31664794899,106075.588773503,2782682.0023763198,2517198.1387167098,1927703.09351709,2080468.8277107601,1480807.92641473,21794331.2758823,4811463.3367543397,23989621.805856701,22435491.410520799,6772919.5969329001,6731266.7323216004,13470651.7258157,23695407.960640602,13086548.526515599,6537719.9394967901,5550783.7911950704,7937147.5205273498,5040597.8172743097,5334874.8516817596,5297390.0626792302,5417448.18565901
CPD2281,6352460.5054221796,14139321.333178701,563937.64779850305,9308539.4366827607,4111599.5879919198,5706988.3567187497,3650793.9112223499,353421.804911024,374446.036835937,193315.10632555501,297181.57385418401,2963796.81880118,2103900.4884452401,3007916.0654996601,6013673.3808431299,4311737.9158601798,1920273.8506221201,3509319.22319212,6799008.7829931797,6741869.1914985804,6618588.4770562397,558688.57614037395,6229301.3639293704,5484533.94102991,4835366.2493806602,4985536.4442583201,4784290.3888894301,4830957.8338975701
CPD2282,2176200.2611406199,0,396711.06581282697,99039.315462201805,1810996.63344458,514596.09662630101,0,0,0,0,0,7021.9632066289596,99080.500858388797,54611.708375680399,332478.27832773299,140505.10723945501,299051.30145286,52880.722445793399,108859.878248245,122648.348353408,100121.672382241,36887.634394496701,103253.030505933,533443.65679514396,237322.32177343799,192900.497527345,205768.143187501,156474.958826563
CPD2283,3177098.5599223301,3664872.22444335,2797296.84548906,5844518.9112500101,8793157.2718429007,4584713.8443875099,1619007.6703125001,2359745.6422102801,1200431.76248438,713154.15553710901,1454557.8901875,1149264.32294782,2191815.54202735,6819285.4056166597,3526418.8730859398,5475343.6963455901,8794481.2232519407,8027250.7024423899,5959635.3981777197,2215815.2389140702,4028124.4150468698,3035789.7725346698,1839187.66660645,5416905.0518437503,4483992.9868950304,4317748.4752734397,4053212.1390356198,4029255.1213476602
CPD2284,15694761.7278974,35859890.614525802,29582757.1814395,35938165.440025903,21778694.8317708,25114753.1630532,3057351.7748437501,1980159.46167308,3593649.4893749999,1370225.8213846199,14419966.457132701,2208943.7942031198,23367665.736098401,21030692.0762062,30261903.191608399,67434956.656212404,16821308.383282799,29640626.674655098,50848738.351576701,23836332.205749501,30268688.444634199,33686565.678884096,43889190.4446247,33157588.067065898,37093249.491847202,29669140.411210399,27933206.837120701,24617236.700873699
CPD2285,8350550.7819054602,2448212.1648192001,3669406.9799541598,2169836.7429663502,7957548.5813459801,5072690.0801770901,790178.29944795498,2559564.22531367,864821.78396734595,990198.60890732799,362656.49764084199,1186488.0812605999,2239725.6479959702,2150643.5657578101,1689998.04945312,1685231.9740224599,5745333.6646243902,6167275.37096324,1749932.66604153,758915.49849759694,1582641.41069531,612537.63073593995,1182652.0089709801,3527600.8544339798,2124877.5620416701,5941930.0621514004,5831690.4936745698,6013981.4769131504
CPD2286,5437945.1269983603,8661278.9541004393,6900959.1051848996,8224294.4976943303,1614087.1876262,4836890.92507031,1486487.46522546,765618.41578470299,711937.24146485305,736426.97927575605,562615.40017005801,736416.944658919,656882.88170741103,977596.61389648099,598005.07066773705,803650.36135709297,714323.94984382996,1283880.2072254301,721575.02818915399,688951.77007887699,705905.86684703804,708242.79407604097,525344.541643042,722133.20159888605,1846033.12856944,2161250.8289859402,2260427.00410059,1931911.5821484399
CPD2287,1176806.24191667,767769.33108547295,573775.080695629,2236799.0435156198,2100972.6314414102,1824896.50846562,2978773.3377187299,352626.74577570002,62983.1160289049,0,10993816.081839301,2650367.8092375202,0,0,0,146884.81863503499,0,0,4200523.9746249998,4925617.6858124901,3615341.4341250001,5160634.4343880303,3340953.1300781202,6563851.0136718797,2131647.62396354,2445467.89025938,2460689.2636375101,2478478.61960783
CPD2288,1622251.91319873,281052.66022808797,305569.84801271098,319718.33344931301,3104304.3020329,1523117.24043359,696403.49572395999,767295.43700234406,676342.56394708902,692236.13990802702,663895.40271946206,690077.70334179595,1231145.4663287201,1303444.7524401101,1591319.4316406201,1158611.0992590201,1054089.72476172,1889889.89552557,1942036.7969631699,1276659.10974159,1919457.30082933,1268373.7190020999,1404808.9442187501,1595661.0865094899,915716.88791281998,952825.57922325702,1007353.4694178,916651.19915464998
CPD2289,11231607.6975566,1216583.7785609399,1511265.6807057301,5194324.2614105204,5231093.9081510501,1595193.1212683599,67554.947471940497,186215.879980559,42783.601651053497,75913.372164928893,73443.661663837702,48480.088096011801,986814.15757260495,1820131.9135880501,1051983.7329475,2050788.99359014,252764.51167823901,340082.81013849401,256122.97602484401,102666.92492741,508865.78220043401,157621.27172755901,121309.167684853,231482.563389641,885665.91474720801,1025691.36316922,881839.896288872,1244409.28562097
CPD2290,259202.217574999,372442.02077459398,146573.57307421899,375309.84283618903,1297858.60071306,1432454.6503795499,14115.5096098582,6883.9446828166601,18760.039372030202,12715.493935085,0,12175.231109619101,64385.199570703102,90921.335731532803,185824.28398967799,338165.69658832398,78061.893910408005,27078.592547045799,400532.66070285399,124659.774769353,733938.73906499101,126169.66712062601,124098.61839864,152985.63013839701,202335.38136947199,178055.67261251801,170469.92262712101,200195.66998412
CPD2291,6919693.5634154798,1154416.12734721,1886098.3091046701,1422263.0887116899,4368220.0364923803,5362623.8001160799,137669.595410776,246637.26187228199,327269.824985552,76463.274485139103,861590.19018771104,120402.243939668,643965.41950948595,331524.57169245899,1026897.479021,2413805.9093632801,727481.73806321097,283797.383985263,450558.25592022203,222763.297459339,2820532.7318624998,369651.58368530299,181048.85489307201,356178.88541796902,2190828.7893632799,1482906.844484,896121.65446461295,1431088.03463826
CPD2292,4139296.9949129401,6154274.8070539897,4931741.6722585298,7566318.2512900103,3244609.5644999999,6834139.8266333696,1272779.0021383399,1308124.7606875,1187903.5472400601,1867089.27515073,937142.50049999997,1436824.58110411,2765375.6733776,3261351.6937421798,2422491.0890474701,5031454.76035007,3383497.7739190799,3235740.6153214299,2954631.5637857202,2826520.1149875,4176054.4882276799,2338073.83561718,1974516.64600781,2666673.1961114602,3347022.1288895002,3462062.71590736,2826440.1690892801,2823996.6541796899
CPD2293,2693183.02117447,2429704.27135352,2966192.7676097299,4946193.4663281199,2200848.52486003,1854228.70432612,41473060.2797888,12779884.656423001,7514863.1664531101,58271.578374023302,113284229.240862,50029074.8956156,697161.23362841702,982771.22985351598,894916.328978515,2303003.8379829498,474732.49420809699,298994.98383928603,9471717.6651667692,9284814.4633261599,6785779.1965741999,18868374.5206719,6321042.6375953704,16013725.448440099,10449044.9480273,10441186.442835899,9993174.49045703,10286662.839358101
CPD2294,24049542.988875002,20479432.290709801,42559540.049281299,17677061.409685999,79163416.356619,116928355.30451199,4266928.7391015701,4222823.4771937504,9778272.9435383696,8060270.9066740097,3884432.8925097701,2757905.70426933,3572200.0165625098,1508338.0061117201,5061030.9195599798,1815362.4421796901,401592.87391824002,707941.73054687504,4057586.4364511799,3200377.7323219702,4359300.1425879002,4069765.3269455298,4403457.5840652101,3123122.2936285702,15595489.402278701,18215386.504561901,22022202.542000599,22168597.446537402
CPD2295,1549753.21541518,1547697.11793401,522737.68749768002,4670940.03877539,489754.86586458399,1066222.0472455299,602333.862630683,547134.39380865498,559318.34972212301,990458.35346777202,575768.72623958404,451245.317361077,2291868.5385315102,1973180.22143125,2302772.92375807,1436310.7709945301,850121.55590091099,1848341.76740755,5350070.1315559801,1293681.5821171899,1364020.3744691701,4782178.4951269599,2980535.63809375,2833149.02396484,1759667.897875,1800610.7955312501,1734243.90712249,1825776.54533789
CPD2296,13475924.800385701,2466697.76837239,5975161.8226848301,2705063.43293424,14026714.164873701,16898392.043492202,79431.830926567302,98180.763528727301,52379.237571095298,44514.833973800698,47444.0028213759,51965.260569288002,6223998.3370900396,2372383.50044053,5391309.5264819097,6731464.0991406301,2843083.9886970501,841902.459999713,3418884.4539680998,2613557.2930153101,7467383.6232580999,1746654.6982877301,1877993.45146665,5027524.4160387702,4362461.0529853301,4297704.9599834299,4350237.21878896,4482480.7754839296
CPD2297,121347131.323232,85067858.608406305,30567287.008852299,21042282.276332401,127861011.860475,87826498.783969194,1150352.1996582299,1845688.6520254901,453908.970556641,463642.225435653,341561.58377812302,252812.43574037601,438490.92819656298,4597958.5058670295,8118439.3930696901,5802275.7566695102,12371852.9804761,19154080.035633299,14737948.0335756,9874086.4478122108,10567899.3276916,2636115.7559592598,2215913.3659983501,2209288.0701031201,29286486.0884168,33137521.909715101,32874240.882936802,33138130.945213001
CPD2298,505970.46830253903,4854702.0851684697,6950317.8870787602,8706443.6551718097,10126507.6861705,4283894.1614286704,1712489.48908078,2399918.1054189098,863444.12603269506,2844158.35435308,5019944.2944574198,1241215.4644557801,2550768.0746808699,12856405.3364379,9189341.9650688302,27178900.009712499,9172024.92131106,8225790.9926739298,36768271.0686597,24187246.069330201,12087609.505959,18236162.937823899,19686493.019060701,16811974.535717499,9882887.4601847194,9640397.2369894404,10703286.5686736,8865731.0301467106
CPD2299,1601523.09870978,1599043.06005,1440070.10462589,2322985.5100485701,1393634.2191804701,1859130.2849431599,30245578.835494298,42151806.640147701,34540221.923983298,11586891.1913126,16646283.4516539,66705764.263107397,83875048.684096396,27286990.3167025,115102770.628855,56490481.752808303,29752074.2869187,138984350.120332,11725391.2558148,12224360.3188775,14047020.0006229,12112622.4894609,10307174.541534999,19114828.700039901,29465832.803872298,32868835.1594688,31187684.193604201,29485000.345310699
