CPD_ID	MS2_name	MS2_score	level	MS1_name	MS1_ppm	mz	rt	Formula	type	HMDB	Chinese.Name	CAS	KEGG COMPOUND ID	Super.Class	Superclass.Chinese	Class	Class.Chinese	Sub.Class	Subclass.Chinese
CPD0557	Thr-Leu	3.83	level1			231.1357	139.4	C10H20N2O4	NEG	HMDB0029065	苏氨酸-亮氨酸	50299-12-2		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0558	Veratric acid	3.83	level1			181.0512	60.4	C9H10O4	NEG	HMDB0059763	3，4 -二甲氧基苯甲酸	93-07-2		Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzoic acids and derivatives	苯甲酸及衍生物
CPD0559	LPG(17:1)	3.83	level1			495.2742	59.5	C23H45O9P	NEG			1246298-11-2		Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphoglycerols	甘油磷酸甘油
CPD0560	"1-Methyl-6-phenyl-1H-imidazo[4,5-b]pyridin-2-amine"	3.83	level1			223.0982	37.1	C13H12N4	NEG	HMDB0041008		105650-23-5	C16038	Organoheterocyclic compounds	有机杂环化合物	Pyridines and derivatives	吡啶及衍生物	Phenylpyridines	苯基吡啶
CPD0561	"Adenosine 3',5'-cyclic phosphate (cAMP)"	3.82	level1			330.0597	160.9	C10H12N5O6P	POS	HMDB0000058			C00575	"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleotides	嘌呤核苷酸类	Cyclic purine nucleotides	环嘌呤核苷酸
CPD0562	3-(3-Methoxyphenyl)propanoic acid	3.82	level1			179.0718	19.3	C10H12O3	NEG	HMDB0011751	3 - ( 3 -甲氧基苯基)丙酸	10516-71-9		Phenylpropanoids and polyketides	苯丙素类和聚酮类	Phenylpropanoic acids	苯丙酸类	Phenylpropanoic acids	苯丙酸类
CPD0563	3-Isopropylmalic acid	3.82	level1			175.0618	205.7	C7H12O5	NEG	HMDB0012156	3 -异丙基苹果酸	921-28-8	C04411	Lipids and lipid-like molecules	脂质和类脂分子	Fatty Acyls	脂肪酰类	Fatty acids and conjugates	脂肪酸和聚合物
CPD0564	Homogentisic acid	3.82	level1			167.0355	89.7	C8H8O4	NEG	HMDB0000130	尿黑酸	451-13-8	C00544	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Phenylacetic acids	苯乙酸
CPD0565	trans-3'-Hydroxycotinine	3.82	level1			193.0971	47.7	C10H12N2O2	POS	HMDB0001390	羟基可替宁	34834-67-8		Organoheterocyclic compounds	有机杂环化合物	Pyridines and derivatives	吡啶及衍生物	Pyrrolidinylpyridines	吡咯烷基吡啶
CPD0566	Dimethadione	3.82	level1			128.0357	5.5	C5H7NO3	NEG	HMDB0061093	二甲双酮	695-53-4	D03838	Organoheterocyclic compounds	有机杂环化合物	Azolidines	氮杂环戊烷	Oxazolidines	恶唑烷
CPD0567	2-Methylbutyrylglycine	3.81	level1			158.0826	120.2	C7H13NO3	NEG	HMDB0000339	2 -甲基丁酰甘氨酸	52320-67-9		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0568	Deoxycholic acid	3.81	level1			391.2864	57	C24H40O4	NEG	HMDB0000626	脱氧胆酸	83-44-3	C04483	Lipids and lipid-like molecules	脂质和类脂分子	Steroids and steroid derivatives	甾类和甾类衍生物	"Bile acids, alcohols and derivatives"	胆汁酸类、醇类及其衍生物
CPD0569	2-Methylguanosine	3.81	level1			298.1145	106.3	C11H15N5O5	POS	HMDB0005862		2140-77-4		"Nucleosides, nucleotides, and analogues"	核苷、核苷酸和类似物	Purine nucleosides	嘌呤核苷类	Purine nucleosides	嘌呤核苷类
CPD0570	3-(4-Methoxyphenyl)propanoic acid	3.81	level1			179.0718	19.3	C10H12O3	NEG	HMDB0131174	3 - ( 4 -甲氧基苯基)丙酸	1929-29-9		Phenylpropanoids and polyketides	苯丙素类和聚酮类	Phenylpropanoic acids	苯丙酸类	Phenylpropanoic acids	苯丙酸类
CPD0571	"3,5-Dihydroxyacetophenone"	3.81	level1			151.0405	37.2	C8H8O3	NEG	HMDB0029662	3 '，5 ' -二羟基苯乙酮	51863-60-6		Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbonyl compounds	羰基化合物
CPD0572	p-Anisic acid	3.81	level1			151.0404	23.9	C8H8O3	NEG	HMDB0001101	p-茴香酸	100-09-4	C02519	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzoic acids and derivatives	苯甲酸及衍生物
CPD0573	Glycyl-glutamate	3.81	level1			203.068	244.1	C7H12N2O5	NEG	HMDB0028840	甘氨酰谷氨酸	7412-78-4		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0574	"13,14-Dihydro-15-ketotetranorprostaglandin F1.beta."	3.81	level1			299.1874	89.6	C16H28O5	NEG		"13,14-二氢-15-酮-失四碳 前列腺素 F1β"	23015-45-4		Lipids and lipid-like molecules	脂质和类脂分子	Fatty Acyls	脂肪酰类	Eicosanoids	类花生酸
