sample	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_14481.t1	20.0928	15.4122	21.9149	13.1729	16.9838	14.9413	20.2951	14.0941	13.1556	17.7397	7.47737	7.20781	5.87407	7.42268	7.214	6.59247	7.40858	7.95351	6.30879	7.01545	7.40439	8.10885	8.15029	7.16524	6.46937	7.90357	7.68496	6.79214	8.30521	7.3176	7.81673	10.2192	9.27861	10.94	8.55674	8.47748	7.62842	7.58805	8.36585	7.77293	10.4825	10.8613	10.4778	11.8345	7.11316	11.3255	7.19203	6.54644	8.303	8.31514
Pame_14482.t1	0	0.170716	0	0.074816	0.080338	0.095893	0	0.147413	0	0	0	0	0.081529	0	0	0	0	0	0	0	0.1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308148	0	0	0
Pame_14483.t1	1.24082	1.05607	0.61273	0.636333	0.519518	1.04659	0.921052	0.81127	0.793271	0.688274	0.183162	0.709671	0.476324	0.597265	0.483082	0.70727	0.484253	0.346416	0.499315	0.279201	0.60546	0.545937	0.550376	0.921063	0.768959	0.675174	0.600139	0.663814	0.448312	0.644472	0.930851	0.684409	1.11588	0.957464	0.959102	1.00774	0.810296	0.906788	0.893818	0.788092	1.57879	1.10791	1.26824	1.20727	0.679251	1.34266	0.750935	0.628524	1.66166	1.56881
Pame_14484.t2	0	0.299694	0	0	0	0	0	0.526606	0	0	0	0	0	0.279425	0	0	0	0	0.297614	0	0.614411	0.685504	0.332603	0	0.558468	0	0.306354	0	0	0	0	0	0	0	0	0.324836	0	0.331164	0	0.650811	0.589252	0.365704	0.329461	0.350148	0	0.988958	0.36014	0	0	0
Pame_14485.t1	0	0	0.273019	0	0	0	0.249204	0	0.128574	0	0	0	0	0.133184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166898	0.151797	0	0	0	0	0	0	0	0	0	0	0	0.155232	0.170067	0	0	0
Pame_14486.t1	3.59599	7.36565	3.98302	4.92913	6.31991	8.67774	2.40519	5.16165	6.28186	5.88941	0.975671	3.53399	2.30837	1.88716	3.99039	3.06383	3.53921	3.30997	2.51574	1.89136	2.71451	4.00823	3.05936	3.28123	3.75953	3.13928	3.0741	2.40988	3.07321	2.39139	3.36808	3.9657	3.70174	6.68446	6.44896	6.89389	5.39848	5.98128	6.07826	3.18102	4.60743	5.67686	9.29112	8.66464	6.42283	8.81828	4.47252	11.8325	4.34479	7.34553
Pame_14487.t2	0.925914	1.48507	0.476449	0.724229	0.463277	1.29921	0.14464	1.14665	1.49602	0.580894	0	0	0.463038	0.154352	0.392058	0	0.155414	0.176193	0	0.179833	0	0.188575	0	0	0.153085	0.640083	0.339949	0.186417	0.192677	0	0.178698	0	0.581408	0	0.393942	0.721051	0.691526	0.182641	0.546413	0.540907	0.487335	0	1.10078	0.588579	0.199417	0.541071	0.395024	0.5913	0.571494	0.333542
Pame_14488.t1	3.08019	2.15777	2.30952	1.33398	0.594502	1.1409	1.77805	1.09762	0.686861	0.668912	0.156556	0.674598	0.357281	0.594926	0.303178	0.455887	0.721523	1.35498	0.381239	0.556005	0.527945	0.145137	0.279999	1.29406	0.235097	1.64479	0.131072	0.431017	0.746415	0.680006	1.10268	0.287531	0.297675	0.271094	0.453848	0.417711	0.794851	0.985358	0.561025	0.974243	0.375214	1.40619	0.283831	0.45565	2.15006	1.38424	0.455333	0.608551	1.61194	1.92875
Pame_14489.t1	18.6067	7.58039	10.5488	3.99996	10.971	3.25523	14.8295	7.98773	6.62235	11.546	0	1.06744	0.734148	0.418915	0.667877	0.667846	0.636189	0.238168	0.671704	0.612858	0.582248	1.02239	0.492093	0.725935	0.826386	1.01431	1.49892	1.26456	1.18469	0.597069	0.97126	0.635891	0.914577	1.43017	0.664932	0.736166	0.581566	1.11694	0.617606	0.735886	2.08867	0.824497	1.75143	1.60744	0.539809	2.91802	0.667729	0.267622	0.386541	1.01823
Pame_14490.t1	286.507	253.392	210.51	213.536	193.216	240.9150001	232.68	213.8149999	220.8460001	214.092	249.209	178.168	163.85	194.901	161.603	214.632	195.114	229.634	193.393	213.163	244.847	225.329	219.2840001	242.407	241.028	258.883	228.721	279.7559999	311.276	216.969	226.196	425.3850001	338.1600001	229.2360001	252.892	169.134	186.719	346.25	371.193	353.7800001	275.2410001	342.3799999	392.205	336.483	411.3299999	242.95	284.349	438.8520001	361.781	395.879
Pame_14491.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.080694	0	0.039881	0	0	0
Pame_14492.t1	0	0	0	0	0	0	0	0	0	0	0	0.035615	0	0	0.041014	0	0	0	0	0	0	0.038427	0.036922	0	0	0.043727	0.034996	0	0.040113	0	0.03677	0	0	0	0	0	0	0	0	0	0	0	0.037807	0	0	0	0	0	0	0
Pame_14493.t1	0	0	0	0	0	0	0	0	0	0	0	0	0.032194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_14494.t1	16.0918	151.27	66.4065	615.543	283.781	195.077	48.4091	470.311	549.696	224.644	792.386	862.236	1061.57	1761.64	1007.05	845.505	814.192	815.143	1311.53	1144.01	630.515	1405.1	968.905	895.651	794.975	1193.2	610.576	1055.6	397.806	842.413	836.099	605.566	858.373	377.844	803.666	665.457	744.666	489.23	435.34	910.764	420.861	495.348	355.845	244.033	70.838	385.233	664.734	0.527013	477.565	367.003
