gene Fam Hos Lab Res Wild
Pame_00505.t1 6.78112061112281 6.63133649346051 7.08357458929573 6.83632050668931 5.34520700000013
Pame_00507.t1 3.94073530372352 3.94978872058662 4.19181016183103 3.9214652659826 0.0201172124874818
Pame_00514.t1 2.33904161699597 2.03574054814451 2.15266810580488 2.43528673388349 1.44695941413208
Pame_00516.t1 3.34317128341042 3.6663156253041 3.15080090773739 3.650777014396 3.55125022169261
Pame_00517.t1 3.90262354950856 3.98132543648143 3.72778069260386 4.44003224963925 4.99367495831611
Pame_00528.t1 4.79752082432168 5.73567544828861 4.56926684922446 5.10707204629296 4.37486749337391
Pame_00535.t1 4.03076082825962 4.07908010224866 3.69527454741045 4.20340636393275 3.98795648103715
Pame_00537.t1 7.23149330960364 7.50806185565347 7.11304532129846 7.47832814127052 7.36696799654559
Pame_00538.t1 2.91802203929792 2.8920131630872 2.63442208182563 3.09198183640085 1.0762820369269
Pame_00539.t1 4.62362162040483 4.77710499385723 4.43990141398082 4.85469730742122 4.97367232067879
Pame_00540.t1 5.4226244345021 5.54947992244298 5.20021277546364 5.66403661844442 6.05590993884205
Pame_00541.t2 3.40985581546543 3.54109099997057 3.36560769281527 3.73542339445618 3.96203894357603
Pame_00542.t1 3.36921689452632 3.56326341624004 3.04360610762365 3.69026725153051 3.92380512517853
Pame_00543.t1 4.81550688470167 4.94120090002811 4.66753275065376 4.77861372533706 4.01667242707064
Pame_00544.t2 3.32345982131101 3.43870782727545 3.17290501179783 3.30133777052559 0.947147158635876
Pame_00550.t1 4.64866277306961 5.32723558742937 4.3431471329325 4.91212409535575 4.68916273101642
Pame_00552.t1 2.52691213271969 2.85527649256425 2.17809495292795 2.96896203425909 2.47993816860543
Pame_00553.t1 2.9706328811782 3.69484548486794 2.38595287579378 3.28617873650284 3.25463352435995
Pame_00554.t1 3.5614509679724 3.85255151125586 3.40533233056807 3.63158404810942 3.68107654599084
Pame_00555.t1 3.38590057343003 3.70099930082722 3.02771348812425 3.43084860213545 3.52217007730457
Pame_00556.t1 2.76067321475818 3.23842328855067 2.42662734310944 3.09190139591484 3.67432959605221
Pame_00557.t1 8.35130315151155 8.66021434624116 7.90600960086923 8.54133868449085 7.93245126258995
Pame_00558.t1 6.19964555644144 6.66068005073279 5.58221937909209 6.54416949597982 5.50955320101193
Pame_00559.t1 5.25127448558075 6.04244172650361 4.7982255828066 5.58269871328165 6.33971866517249
Pame_00560.t1 7.72991439403984 8.2160442871611 7.92286992882208 7.99319178138127 7.65172173671048
Pame_00561.t3 4.71950039813119 4.50996079872259 4.24362456512156 4.77884073400758 4.22737027561926
Pame_00562.t1 5.05348760664728 5.7704606477104 4.86822526996373 5.33171534195512 4.42702813723298
Pame_00568.t1 4.06323972955305 4.09199464134487 3.72361097655722 4.19028573269816 3.5152322805283
Pame_00575.t1 4.79357432595903 4.30403838001222 4.45678355779401 5.0269798450783 4.9228841565308
Pame_00585.t1 3.96402782960086 4.29910936528279 3.50850125621872 4.19175154309238 4.78894171331958
Pame_00587.t1 4.20808113360432 4.03890582816102 3.72581317645752 4.47417227394127 6.82646728018744
Pame_00588.t1 4.98602050862974 4.36583680834314 4.40099415280713 4.99960408945329 6.08939776844502
Pame_00589.t2 4.64704531986585 3.98588228849948 4.05043864621376 4.59370589996356 4.669856315909
Pame_00591.t1 4.28574993365493 4.65836066017575 3.91583918412565 4.53916588150967 4.63901720678183
Pame_00600.t1 2.82355571032084 3.50519327434707 2.44165979620966 3.41307383338572 3.60374215733539
Pame_00604.t1 1.81208094635996 2.04026744335076 1.54001198195974 2.1132828684451 2.64917344067292
Pame_00605.t1 2.50084449996355 2.74232819826772 1.9144722523746 2.98809042740584 5.04343066744669
