gene_set	Bger Mean	Esin Mean	Pame Mean	Pful Mean	ANOVA P-value	ANOVA P-value Adj.	ANOVA -log10(P.adj)	ANOVA Significance	ANOVA P-value Adj. Significance
M00345	0.242836734	0.2299129454	0.2604252289	0.243254337	0.0005269472378	0.0007465085868	3.126965192	***	***
M00346	0.2795471576	0.2784509343	0.2868169504	0.2853650397	0.1807370473	0.19005339	0.7211243795	non	non
M00356	-0.001308750992	0.06065953934	0.1497748983	0.07812394389	5.583084644e-10	3.301302224e-09	8.481314716	****	****
M00357	0.01627151207	0.1055749878	0.1691357725	0.09531500196	4.887794211e-10	3.021545512e-09	8.51977086	****	****
M00358	0.001583917219	0.03113807706	0.08736521163	0.004179381427	7.099631594e-09	3.148532272e-08	7.501891851	****	****
M00364	0.263494582	0.286091828	0.2650203835	0.2689282624	0.007016071265	0.00837004993	2.077271951	**	**
M00365	0.2754133366	0.3076444484	0.2619697359	0.2577601177	7.510827529e-05	0.0001216038743	3.915052588	****	***
M00373	0.04568582073	0.07916289726	0.04959258463	0.0608143139	0.0009739000925	0.001311390224	2.882268058	***	**
M00374	0.2324489704	0.267125485	0.2649629353	0.2523945823	6.737103669e-08	2.098273509e-07	6.678137902	****	****
M00375	0.02968766078	0.05317714356	0.08072780515	0.01101572066	2.937455144e-08	1.089528817e-07	6.962761279	****	****
M00376	0.197624928	0.2265321615	0.2026065809	0.1912430471	1.65963066e-08	6.448850566e-08	7.190517687	****	****
M00377	0.1855922819	0.1596628532	0.2292993035	0.1632836855	0.0002041686239	0.0003096683961	3.509103115	***	***
M00378	-0.1479153752	0.07496087248	0.01809450179	-0.06084926162	7.514186498e-08	2.270954142e-07	6.643791636	****	****
M00415	-0.385094722	-0.3635716816	-0.3927179498	-0.4461309769	2.499933884e-07	6.623201458e-07	6.178932035	****	****
M00416	-0.4136656075	-0.4976010871	-0.2893042863	-0.363696781	1.023562645e-16	6.960225988e-15	14.15737666	****	****
M00417	0.009569106125	-0.1019910428	-0.1899996068	-0.01497333808	5.147091332e-06	1.004791035e-05	4.997924248	****	****
M00418	-0.2419893678	-0.2908275742	-0.1888843991	-0.3131014577	1.659531292e-08	6.448850566e-08	7.190517687	****	****
M00422	-0.09756299445	-0.07985555311	0.01264812632	-0.06779801054	4.232591276e-06	8.423888979e-06	5.074487365	****	****
M00432	0.450687778	0.4313666992	0.4480481987	0.4509311403	0.0002104869673	0.0003168955079	3.499083917	***	***
M00433	-0.2210920896	-0.1841152014	-0.1140405644	-0.2307511001	1.269757533e-08	5.232940134e-08	7.281254234	****	****
M00525	0.3512789255	0.4038371614	0.3690062409	0.3630056141	9.985888432e-06	1.877531097e-05	4.726412861	****	****
M00526	0.3355257996	0.3488308393	0.3223157275	0.3374950248	2.288719541e-05	4.042413734e-05	4.393359239	****	****
M00527	0.3549090948	0.3702543941	0.3406089482	0.3520039018	2.425895267e-07	6.469054044e-07	6.189159221	****	****
M00529	-0.02936026069	0.06317379092	-0.02328366025	0.01565560991	0.00273470427	0.003475885801	2.458934501	**	**
M00530	0.1589263855	0.170603782	0.1290112283	0.1855503536	0.0005899982499	0.0008272140411	3.082382103	***	***
M00531	-0.04676152829	0.001097521622	-0.1219024053	-0.08282889652	5.767587988e-08	1.897722499e-07	6.721767293	****	****
M00532	0.2458190843	0.2699148115	0.2823989085	0.263980389	3.307722737e-05	5.660586225e-05	4.24713859	****	****
M00533	0.01167766284	-0.009531326329	-0.07899679745	-0.03361080923	0.03264545361	0.03649135636	1.437809994	*	*
M00535	0.4260318842	0.4047292343	0.4172752934	0.4229203016	1.802750333e-05	3.22597428e-05	4.4913391	****	****
M00537	0.02087568551	0.03737794222	-0.01839092999	0.05424791065	0.00210078168	0.002686893183	2.570749598	**	**
M00538	0.02087568551	0.03737794222	-0.01839092999	0.05424791065	0.00210078168	0.002686893183	2.570749598	**	**
M00539	-0.4209695602	-0.2055959648	-0.3841798738	-0.4641619539	4.927977908e-11	4.675848805e-10	9.33013954	****	****
M00540	-0.2244575273	-0.03091244625	-0.09820965676	-0.1984970229	8.279293228e-14	2.758465656e-12	11.55933242	****	****
M00541	-0.207864114	-0.2030649315	-0.08562558769	-0.1760219129	2.203653766e-07	5.993938245e-07	6.222287736	****	****
M00542	-0.04810037323	0.01036914005	0.08183403729	0.02450366757	0.0002606182261	0.0003894953709	3.409497699	***	***
M00543	-0.4024413311	-0.197090826	-0.3193315439	-0.4538094024	9.906245671e-16	5.052185292e-14	13.29652073	****	****
M00544	-0.3972883678	-0.2813720541	-0.4675336314	-0.4521087545	1.071755306e-11	1.457587216e-10	9.836365449	****	****
M00545	0.007623712297	0.04622104169	-0.005547740916	-0.03087007985	8.170586758e-05	0.0001312440708	3.881920308	****	***
M00546	-0.07335764575	0.04235601338	-0.01408869742	-0.06633375044	8.405819382e-11	6.999131241e-10	9.154955863	****	****
M00548	-0.3452414764	-0.2327169311	-0.2303147904	-0.3483544609	3.053490166e-11	3.114559969e-10	9.506603303	****	****
M00549	0.2088450954	0.2507341031	0.2568453749	0.2491311782	2.668373981e-10	1.755962233e-09	8.755484829	****	****
M00550	0.2736559504	0.1567768211	0.204505468	0.2069070247	4.143757589e-09	1.965875693e-08	7.706443947	****	****
M00551	-0.07249478915	-0.08730107536	-0.1769263459	-0.1194737957	0.0673692742	0.07369078787	1.1325868	non	non
M00552	0.2899197608	0.2379020921	0.2582314376	0.2922377775	5.288631543e-08	1.782455225e-07	6.748981371	****	****
M00554	0.3639263245	0.3929563305	0.3872288183	0.3641068713	0.0001388811959	0.0002171016396	3.663336897	***	***
M00555	-0.07393149238	0.124203246	-0.05094494449	-0.09533589409	7.657870336e-14	2.758465656e-12	11.55933242	****	****
M00563	0.04178900505	0.07487736918	0.1693410428	0.1024549081	1.748150496e-09	9.509938696e-09	8.021822283	****	****
M00564	-0.1574303916	-0.1089404454	-0.2156408107	-0.1253206812	0.000185891628	0.0002851270083	3.544961643	***	***
M00565	0.2864196237	0.3336730858	0.325469875	0.321504564	3.099973588e-07	7.954649206e-07	6.099378968	****	****
M00567	-0.121357896	0.03710661541	0.08526145364	-0.02622495094	2.257539546e-11	2.631646099e-10	9.579772515	****	****
M00568	0.05029402274	0.0125562873	-0.04431337276	-0.03347845206	4.792140149e-07	1.184965564e-06	5.92629427	****	****
M00569	0.07851736845	-0.004555353395	0.06804533581	0.02963071271	6.705980975e-08	2.098273509e-07	6.678137902	****	****
M00570	0.3732541666	0.3523316086	0.3777356388	0.3786817172	2.387061731e-10	1.598635078e-09	8.796250662	****	****
M00572	0.3585922559	0.3348613819	0.3347362663	0.3518504937	5.050186801e-05	8.342008966e-05	4.078729348	****	****
M00573	0.274980403	0.2939849797	0.2551163028	0.2623619371	6.234870249e-06	1.202111925e-05	4.920055095	****	****
M00575	0.1403204708	0.09403747108	0.09446427305	0.1364368591	3.933862778e-07	9.846724008e-07	6.006708235	****	****
M00577	0.317951497	0.2802167335	0.2843491635	0.2873617748	3.471122398e-08	1.23149386e-07	6.909567749	****	****
M00579	0.3602231624	0.3724599461	0.3828127301	0.37088861	0.001587927023	0.002056743573	2.686819851	**	**
M00580	0.1673239316	0.1574487789	0.1811466665	0.1753417775	0.2865167382	0.2951990636	0.5298850245	non	non
M00595	-0.312436746	-0.1273020049	-0.2999681744	-0.3550396048	2.284233272e-10	1.579605381e-09	8.801451395	****	****
M00596	0.1173020831	-0.01685926956	0.2090441178	0.1983966347	2.639194459e-11	2.873185039e-10	9.541636404	****	****
M00608	-0.06349919095	-0.02767532697	0.0383850796	-0.05831481436	5.657077984e-07	1.357698716e-06	5.867196593	****	****
M00609	0.1604657877	0.1736463735	0.1612453844	0.1670239058	0.3371170134	0.3438593536	0.4636191575	non	non
M00612	0.2615709754	0.2622145762	0.2891546675	0.2770991244	1.366437468e-07	3.898646762e-07	6.409086112	****	****
M00613	0.197624928	0.2265321615	0.2026065809	0.1912430471	1.65963066e-08	6.448850566e-08	7.190517687	****	****
M00614	0.2788755642	0.2887379037	0.2950046029	0.2917059406	0.001321380464	0.001750400095	2.756862672	**	**
M00615	-0.07809302765	-0.1032429825	-0.1351353198	-0.02039017737	7.652574751e-05	0.0001234091106	3.908652778	****	***
M00616	0.00782150969	0.108463008	0.04375107419	0.04790640456	0.0009913317988	0.001330471625	2.875994383	***	**
M00617	-0.0510354334	0.0768109637	0.1234236016	0.023915621	2.676005674e-11	2.873185039e-10	9.541636404	****	****
M00618	0.2226284438	0.2053143955	0.2615611763	0.2076873525	0.0002808527654	0.0004117702921	3.38534499	***	***
M00620	0.2700597601	0.2868767687	0.3097924968	0.2964137178	3.039514681e-08	1.107251777e-07	6.955753614	****	****
M00621	0.3962613007	0.3953432241	0.4166286198	0.4062364811	0.001364135871	0.001801189111	2.744440687	**	**
M00622	-0.1096565056	-0.07759507621	-0.1551971496	-0.1973219297	3.315882617e-05	5.660586225e-05	4.24713859	****	****
M00623	-0.1599609553	-0.2095834276	-0.1685858849	-0.1441976341	0.01392067499	0.01608961869	1.793454248	*	*
M00627	0.4493828642	0.4295010388	0.4448826721	0.4417795943	2.008067816e-05	3.562137692e-05	4.448289297	****	****
M00631	0.3316699493	0.2750745206	0.2862497221	0.2906337073	2.755614321e-09	1.405363304e-08	7.852211391	****	****
M00632	0.4277237144	0.4428780317	0.4365340891	0.4284163368	0.0009374390456	0.001266473942	2.897403741	***	**
M00637	-0.3373829824	-0.204200498	-0.253209204	-0.1843659637	0.006332244806	0.007621108793	2.117981839	**	**
M00639	-0.2616150636	-0.1871144929	-0.2188598839	-0.1626554499	0.2188023084	0.2283154523	0.6414646947	non	non
M00641	-0.1185470419	-0.1029884602	-0.05346518404	-0.06738950536	0.07585597571	0.08253130157	1.083381306	non	non
M00642	0.3160546656	0.2401733557	0.3029875006	0.3407492959	3.229399966e-10	2.058742478e-09	8.686397975	****	****
M00643	0.1235593031	0.0360100547	0.07881989798	0.03949833692	0.0006092021224	0.0008454233536	3.07292576	***	***
M00649	-0.3175177187	-0.3564453126	-0.2330559007	-0.2098222862	2.519978265e-05	4.375111201e-05	4.359010904	****	****
M00651	0.1553776906	0.1789757543	0.1748234185	0.1483457323	0.0004897588268	0.0006962425133	3.157239462	***	***
M00652	0.2436794127	0.2419303561	0.2564527031	0.2426489757	0.2034380518	0.2128275003	0.6719722557	non	non
M00660	-0.06417104377	-0.008689754695	0.04608779273	0.02654711575	0.0002807668445	0.0004117702921	3.38534499	***	***
M00664	-0.1259619367	-0.1217449174	-0.1013388903	-0.1159830973	0.3331679245	0.3406829905	0.4676495492	non	non
M00672	-0.1887134165	-0.2046102761	-0.1842170256	-0.2354569597	0.4478185124	0.4545023708	0.342463847	non	non
M00673	-0.3078287421	-0.2361884112	-0.2262720284	-0.2829661548	4.167116458e-05	6.996639979e-05	4.155110473	****	****
M00696	0.1006950067	0.08459823439	0.07144655843	0.1115339441	0.03335243795	0.03717976689	1.429693337	*	*
M00697	-0.06597327358	0.0214209238	-0.0013846013	0.02698392736	0.000275392274	0.0004071016225	3.390297167	***	***
M00698	0.01116273182	-0.01337796564	0.0008440092857	0.009745287375	0.2768295857	0.28666617	0.5426235559	non	non
M00700	0.1014193128	0.1265439855	0.04773432853	0.08745426307	0.03028130407	0.03403518474	1.468071888	*	*
M00702	0.05214231856	-0.03439864045	0.03523783046	0.04115405719	6.879716079e-05	0.0001127278779	3.947968668	****	***
M00704	0.1099624234	0.07189964892	-0.004347164417	0.07608503895	1.206502911e-05	2.217356702e-05	4.654164437	****	****
M00705	0.2049166505	0.0745928668	0.1197576824	0.1546175905	6.441304699e-10	3.754360453e-09	8.425464033	****	****
M00718	0.5001276206	0.4449224723	0.4770040854	0.4929822136	9.052893419e-14	2.758465656e-12	11.55933242	****	****
M00725	0.06206076143	0.01831762974	0.0247895535	0.03076358948	0.09774232487	0.1054996522	0.9767489719	non	non
M00726	0.02873619916	-0.0163787529	-0.009906965677	-0.006713461903	0.01329578231	0.01545492644	1.810933058	*	*
M00730	-0.1906883052	-0.2760258861	-0.1601814282	-0.2350155659	2.988192899e-08	1.098362795e-07	6.959254186	****	****
M00736	-0.3868306868	-0.2325253656	-0.3711171459	-0.3742241425	2.095143585e-10	1.526461755e-09	8.816314072	****	****
M00740	0.2175855387	0.2391575082	0.244175013	0.2388347852	3.463376917e-06	7.172882142e-06	5.144306305	****	****
M00741	0.03922778551	0.1316361427	0.09588260569	0.06938343654	3.619343812e-09	1.73728503e-08	7.760128923	****	****
