gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K09933	13.97866366	5.396646529	5.423290721	2.801021969	9.799886871	11.61693502	7.514879871	9.911418971	7.546403664	5.955326583	2.942042675	4.7232004	13.81528752	7.754757906	7.204606494	3.769159115	4.466063792	4.130828505	23.60114524	7.201375946	4.99054933	5.89265213	3.511099663	2.875727552
K09934	3.8826422	0.79522453	1.437846	0.663171214	2.23409403	2.99007927	3.4451133	6.130567775	1.76376546	0.26645406	0.53641182	0.36775402	0.38792467	0.670749988	0.6097498	0.50434518	0.487055995	0.410083096	0.672210485	0.85443613	2.03603883	1.08510754	1.06435222	1.155923575
K09935	67.41713823	61.75186757	55.69215042	47.20404005	44.32657259	40.88221363	12.31870243	16.29029272	19.10221636	18.54287742	5.423442101	7.114568863	32.02320372	24.87287622	27.01141778	28.7101161	26.50465512	28.00449962	12.77876144	17.15506441	20.42627076	16.31026092	16.44397106	18.40041338
K09936	56.68580024	94.24059388	52.00052909	82.95127046	43.93239389	98.14413829	80.78001662	63.96299516	63.02675106	67.00393784	70.59695949	83.65377766	36.32080028	46.50903488	31.79952348	26.69148519	29.79661986	30.1493695	47.64629028	39.39689537	69.58227816	49.13448886	57.9231427	55.27459983
K09938	0.255835715	0.196380987	0.4090557	2.207057986	0.48801297	0.102256615	0.26009172	0.06227004	0.089932285	0.032965314	0.034556843	0.052042957	0.23742842	0.181042145	0.18067325	0.234447054	0.26921497	0.19543686	1.42880409	1.68283784	2.01944965	2.382476181	0.875326473	0.49157254
K09939	41.38351643	51.56574652	46.36102092	33.09428414	54.52669232	27.52860083	16.17913487	21.98580336	14.99822906	10.86386687	17.85032129	17.56299271	35.53770479	37.09955516	44.16461777	41.41294287	37.70111968	47.75864144	49.96221975	69.18486416	68.15858347	67.04409649	59.81987784	46.56127344
K09940	61.93143564	103.763379	87.39008795	47.36674285	86.21371987	44.01667149	68.68781768	87.11721531	84.81344242	78.11013509	80.2180771	80.31209805	42.55450027	30.27172225	44.22033039	46.65282916	41.69552881	45.0168946	40.55362173	49.86264581	44.34074739	39.58419577	29.57194671	36.95322055
K09942	17.29274591	15.01900702	11.36686848	13.6002224	17.71155164	41.3169921	14.33510631	14.74330267	15.31206171	13.75680793	15.28363093	12.92240144	43.00181083	30.96115567	29.71168475	24.25342867	26.38687235	28.45901173	15.8423011	36.26532493	20.00025119	33.02259688	23.60449465	24.65706203
K09943	0.495379642	1.17731634	1.27128577	0.76875166	1.93431598	1.4945338	0.114480585	0.24065691	0.191506138	0.19543455	0.14263345	0.65473024	0.14786871	0.09142573	0.05160497	0.10356099	0.15866704	0	0.31974292	0.27823785	1.9972157	0.6859174	0.20210138	0.49586406
K09945	6.87314683	0.234261047	1.345348103	0.158058241	1.49491325	0.5112574	2.8869221	5.6136785	0.19303453	0.15724052	0.41207924	0.23086183	0.31212368	0.365984454	0.52438215	0.32950005	0.27358061	0.318141614	0.475541898	1.62458985	0.31652084	1.498909375	0.380181657	0.29494615
K09946	156.142136	139.2304222	149.2154063	180.8586998	149.7393568	97.9406837	38.25338017	40.98159012	34.11139712	27.70765931	51.93131264	51.71763626	76.89844632	69.52455519	74.9856427	69.13479371	79.10072465	79.7834364	101.5637114	105.4317221	100.2217305	78.47042538	76.63906477	72.40252229
K09949	28.73678865	28.75706749	24.2061259	13.13665355	32.47870955	49.92538839	27.15955654	31.11906442	34.74962527	25.08076288	23.16864901	25.91666949	54.53522421	50.66444054	71.89717043	83.00183312	70.17684283	72.37966372	66.58958914	50.05939656	52.61539907	45.1779039	63.8627017	56.36900039
