pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
ko00450	-0.0743857171052824	0.103286940508569	-4.2211266882296	0.00029293015501046	0.000829968772529637	-0.685073753920643	-3.08093824759163	down	0.162335573314029	0.171398877316176	0.164933748558496	0.197900804285223	0.118081169949967	0.161102549015202	0.13813548911292	0.0915572343114664	0.116156163156652	0.115684818421459	0.0884104625119027	0.128230718941533	0.0117828964035317	0.0878816511123726	0.0888477185539203	0.00909391833393306	0.0575690333186044	0.02981069835528	0.0382494887604903	0.107238722210231	0.111272940856236	0.11012426587062	0.0959520629858752	0.0771355665495312
ko00860	-0.114054635720643	0.180012510297141	-5.82447810105562	4.95393958420588e-06	2.61363019442586e-05	3.39758276243677	-4.58275586123969	down	0.202108496876813	0.200424881489097	0.212722400157617	0.201804875443449	0.192239061502766	0.196516144859925	0.164331058761822	0.140673560983178	0.172406496364405	0.163284206142378	0.130571977673019	0.180036699932173	0.120312008831149	0.0689535217103237	0.1003121004662	0.107669447443138	0.0799701088579189	0.0896120137312228	0.252138182569219	0.286756944164163	0.265024073915693	0.26728129694433	0.244153656782842	0.280997031528546
ko02010	-0.0427943113314548	0.0053991654510779	-4.24867361565551	0.000273016243262966	0.000803297792677572	-0.61539425965752	-3.09512342640055	down	0.0109796323944149	0.0170778245639439	0.0208157848664628	0.0405265763535194	0.00676180236689468	0.0230459866989753	0.00947518126083321	-0.0137223921684723	0.00339377884542786	0.0246383558596299	0.00831988647670287	0.0139196568355054	-0.0399853145331291	-0.0385893362617261	-0.0323451102249359	0.00846400137139243	-0.0501464341146816	-0.00757721452199906	-0.0101017925935257	-0.00319576669452593	0.0295818206366691	0.0702349549607679	0.0376105835058887	0.000397504941836898
ko03050	-0.111412617788738	0.493077253926649	-18.7908550500252	5.20088870242653e-16	3.9786798573563e-14	26.7135332114366	-13.4002610047534	down	0.510487977512136	0.517263585651076	0.520393457804186	0.518792254805419	0.51459255227923	0.512129300956393	0.522963315215759	0.516422638409001	0.519485258202718	0.531861960959072	0.523022252320459	0.523160079219263	0.393732372936757	0.422872818336828	0.431923300458728	0.389618874097807	0.4198694954208	0.399089882259657	0.522891121469378	0.520985340821253	0.52202864370339	0.530258139688709	0.530396804238331	0.519612667473236
ko03082	-0.0367436150436852	0.11694444055199	-4.52888846298045	0.000133237593169503	0.000443159820759436	0.0965985232585922	-3.35343962195625	down	0.142901412999545	0.13750170297758	0.122745345257852	0.132088744008862	0.144908131061203	0.108511064836369	0.12311560617413	0.0972493791316967	0.111434071415663	0.116068255967396	0.126247247050985	0.110070391485341	0.0898101867320263	0.100292162120609	0.109357474509592	0.0676109056409273	0.0863515479042955	0.0828980987079066	0.15915728175139	0.126524823367714	0.117181597680621	0.122375989507467	0.119988312700354	0.152276840258236
ko03040	-0.0661855440757994	0.279492165890823	-5.41351208029291	1.39306429359983e-05	6.08968105487927e-05	2.35610348236906	-4.21540545280773	down	0.330230514994068	0.318485975202941	0.320880010134179	0.325348079754415	0.331132145149669	0.299527453626542	0.308586888574477	0.291060577100721	0.30545314719609	0.312206038982916	0.31220190738316	0.310366808267753	0.220420046141034	0.247297653679627	0.235233315645693	0.213647021381309	0.232126920761617	0.230393089394562	0.277364119432536	0.240715200535853	0.25123444520794	0.259050764758849	0.258510172059471	0.276339686014333
ko04980	-0.312045444593423	0.124005031387743	-13.0305627843919	1.7688315005947e-12	4.51052032651649e-11	18.4976469755652	-10.3457733557051	down	0.240831047538828	0.257703722996795	0.316228915936325	0.293668097398463	0.276769695665471	0.276626196641944	0.153186255370913	0.145085351232889	0.172431655155089	0.147396342519048	0.166155053749783	0.165321142161048	-0.11904606599383	-0.0757043936602992	-0.0976912385559418	-0.125413714772767	-0.144558319015585	-0.0977605803455233	0.167454654953637	0.215600809077664	0.152197032468028	0.161148140249695	0.148986345700282	0.179504606833875
ko00130	-0.0609704899354122	0.160490543160207	-4.8025245162569	6.60941257458911e-05	0.000252810030978033	0.795435881106481	-3.59720569814289	down	0.210091344818515	0.175024219296721	0.211406903767738	0.175497341882068	0.180849451461205	0.181284987565956	0.149904814860242	0.116091139751902	0.14608005775264	0.161826446113095	0.117162719411863	0.164616839078258	0.120896368083482	0.0917695226309016	0.120212128717706	0.116689479467811	0.124169121312608	0.114839434039377	0.185514558785848	0.210627737701039	0.221795986992848	0.175810505177284	0.195532173102202	0.184079754073653
ko03060	-0.0902163397589032	0.374996195193012	-8.43353180005206	1.08400289390877e-08	1.38210368973368e-07	9.61375925484923	-6.85945937361167	down	0.41507611360191	0.422080716897228	0.42722757415261	0.419230295213921	0.409851095557416	0.411879431940322	0.417390923382436	0.40749870067863	0.401726570671355	0.409970465612799	0.403361761567813	0.414033427431994	0.299100566381485	0.315187793817013	0.326725613158426	0.299869810836265	0.304787186290572	0.298332671759248	0.355670137672714	0.361066105043023	0.373197801064501	0.379163230677502	0.375634022892443	0.351846668330669
ko00100	-0.14710228996369	0.185480133236127	-4.48669710821577	0.000148449121486593	0.000475161835343782	-0.0109118613648764	-3.32315844884592	down	0.158309782820948	0.185625268424761	0.164319111971278	0.204604137660641	0.269395391742237	0.284060059292977	0.118583670731184	0.202900245808758	0.166370170264385	0.106902145448424	0.13787885780183	0.141398997220432	0.0592716690985087	0.0110236764552624	0.10839305181512	0.0985207895727647	0.0706453804218175	0.103065927216685	0.294797301684802	0.292256202190189	0.253605246238223	0.327128065586547	0.353787612898148	0.338680435301134
