CPD Fam Hos Lab Res Wild
neg_14611 19.0636328949095 20.3421284307398 18.0715817898521 20.1240674767696 18.1046149492886
neg_25283 18.7903319152096 19.5674144672169 18.9755385543326 18.7932894204506 17.8468977266115
pos_539 15.3072745745151 16.843711166725 15.0861803872601 15.9585597631532 15.3492236143162
pos_696 17.0233664400966 18.4052740632086 17.0282225966035 17.59020648758 14.3119935967299
pos_6760 15.3780661529394 14.8048076032632 15.0426136072096 14.6209963130472 12.2330938667862
pos_8487 13.2136452448521 13.4151239087273 12.2596104392227 12.9748542242711 10.4553012979255
pos_10565 13.8934441002693 16.3803273704982 12.6479162493651 15.8117204914444 6.25458771863215
pos_11376 17.5820171156465 16.8046520822724 17.1180526585743 17.0905067985632 19.1319526366939
pos_11706 26.6993478330039 28.5768736329695 25.7538304377618 27.7644004912646 24.9828633797962
pos_13763 20.8388397518461 20.6191495518935 19.6211827980237 20.5174737409632 15.3916822380773
pos_14100 6.52290437955793 7.87679999032637 7.33225050463221 7.21231982088631 15.2273294240885
pos_16079 13.8254532827745 15.2806614608404 14.2423441989107 14.6004532691115 10.6214208253398
pos_16998 23.1355588639844 23.5719191446567 22.0328027390415 23.6885082657236 23.2724050048586
pos_23882 13.1755612098368 13.4330720672953 13.840482058077 12.0147728854022 16.5668530372047
pos_24076 13.4825363689259 13.1860896953836 11.4812681730879 12.1395395402739 12.1388450329625
neg_8120 10.1271021021796 10.9899870259124 9.2956863278497 9.8400815078959 7.15586176387738
neg_11498 12.5108593003857 15.3663154909778 12.8363221612366 14.472614888824 14.9096789526226
neg_25855 13.2654495010938 13.0323289385579 13.515899706567 12.2466406379349 12.6252153440228
neg_26115 17.7389486872446 18.7006978005265 17.32252271963 18.3608959641678 17.7331503196401
pos_2094 14.4870167615081 16.8467656549934 14.1652383812301 15.4992637700222 12.6988015218829
pos_2794 12.6662505536492 13.2805492495704 12.4665550712122 12.8561009674656 10.9475446347722
pos_3325 18.2670739162912 18.9834371053917 17.0040749365442 18.6044388590727 20.2425716971327
pos_8098 16.2488863029172 18.7727979411817 15.9665994109986 17.3047481817623 13.0703086448417
pos_8466 17.4996717298136 17.7724813348822 16.69849949604 17.0053085502639 14.1895769102633
pos_8886 13.8047925747715 16.181478918388 13.1617317449009 13.4628156990564 14.4748344572902
pos_16423 12.19816928164 12.6364439981803 11.6489141324079 12.4861991176012 16.962744989594
pos_20414 16.9636094475557 16.865255535697 16.0264203679542 16.9475466792081 10.6680692297232
pos_20870 14.7000463242984 15.132388288123 13.2529465284648 15.0772485809443 12.518642214027
pos_21143 14.8638089925356 14.5053504539795 13.229355744996 12.6897337734627 12.4328831975683
pos_24274 10.3038068864694 10.8441141237161 10.0881539002406 11.6490677067089 7.74951399572317
neg_1335 17.2433566272305 17.9625858552553 16.5997935657058 17.3872140456549 18.7690655415057
neg_5248 15.3408250357582 16.9719105176017 15.0276480547202 16.4759607603224 16.3495135177048
neg_11684 10.9760600792508 13.0389039505674 11.6599353295758 13.5134630781601 13.5944311312586
neg_18911 11.7306675796573 12.8860424606537 9.59603664428711 12.0473734566879 13.7724414065412
neg_21108 12.6203310474692 13.5987786573989 12.6690487615901 13.6161068306315 12.4175203495238
neg_24674 19.0666197867591 19.4514964021896 18.8549853469419 18.9466980367914 16.4607294160392
pos_1242 12.7870969556546 15.4033018475826 13.5444023042396 13.9952543100085 10.848358020267
pos_7523 24.5808848233881 25.3615664041194 23.9873848169864 24.8877955891589 21.188226557492
pos_10015 19.1067594802595 20.7395613657763 19.0511075623202 19.975727352307 17.473722335479
pos_11443 17.4568164383776 19.9265301843065 17.2318338227754 18.913812312363 18.4022917156002
pos_16695 19.6072494779815 19.8417405155374 17.5617933354765 18.9630444856884 19.6008207553187
pos_24224 18.9039837257986 19.8486130893698 18.3938092183682 18.7942078482167 16.9793913858285
neg_1052 11.7936084918689 13.2410140337737 10.8784669296218 12.0160390321676 7.55247540491167
neg_1682 14.303305021 15.3632947939223 14.4081474904285 14.4037955983095 13.4504902811087
neg_1857 9.63933371591492 10.3789334419253 7.88228788703361 10.0765272971063 6.6471821131293
neg_4650 8.52033220559477 5.97851541405138 7.70662493999713 7.21897866226153 2.36601016472876
neg_7589 10.4018502022029 11.1224886313155 9.28765981330683 10.6140117274789 10.0275323786073
neg_11531 11.0981668682141 11.5131232584679 9.68223985148789 11.3287591976872 8.1543888867861
neg_13048 17.92331164865 19.4943098999174 16.8878596375351 18.7263745688535 17.233537370215
neg_15586 15.9806290370245 18.0392701455609 15.5980058510869 17.6268408039288 18.3285583503322
neg_26245 18.8020396795674 19.7861775569491 18.2832138563533 18.9265963976282 18.7455112052415
pos_4245 11.0071131250446 13.8207051683569 11.3822037803341 12.0775537237618 11.5430652956237
pos_6440 9.5034754999296 10.2602672216556 9.34155321550785 9.67682485092849 16.3819699637016
pos_8422 10.1829967958939 8.70927627485435 9.54476651470259 9.55873816156505 8.52632509266423
pos_16401 13.3228915100364 15.1195406154001 13.8105403995237 14.4172227183684 10.0275617946195
pos_19295 12.1431440374856 11.4168341620473 11.2732101064393 12.4588159501177 10.0366312688814
pos_20294 11.2418907366677 11.3890930310502 10.9542532774611 11.3580286648192 11.8093838627502
neg_1998 14.3512313546198 16.435766888737 14.5247855490433 14.9247416975772 15.9996293125289
neg_5345 20.2452429489286 20.7370760963499 19.7280950953317 20.598989966005 15.1545794443616
neg_13041 10.5603547719288 11.7656280990816 10.1731381049813 11.3549382380371 13.7429987317558
neg_19107 17.9646385681747 19.0932141642941 17.5730723877191 18.5377258539793 16.6196368500728
neg_19739 13.816087846144 13.8455080076735 13.5108144300672 13.4776590407905 12.7467231598336
neg_21682 9.17070089428762 11.0714271217323 8.87591374033991 9.57074350815929 8.20404850524926
