wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
lab01	0.496511028267066	0.49162978900995	0.499722219149904	0.477405206260813	0.498636651327444	0.489992848873225	0.486807593727736	0.502126740646399	0.485847834316512	0.496425823784703	0	0.234670110382515	0.24009262326288	0.288810740870473	0.208321804757126	0.277049642086437	0.361890085064126	0.316888680833207	0.27803550155701	0.210325397000649	0.249718166572671	0.18094525778653	0.232501565880849	0.270778378947988	0.25575029300205	0.420862620182079	0.255839108676087	0.190946504061109	0.313933320006178	0.207079721995154	0.257496304329064	0.200917052255798	0.228253830324496	0.275667858914909	0.272495827215218	0.302161022339633	0.249109098975927	0.27638458748518	0.188653434244563	0.185573910486388	0.237101421979556	0.226869851003141	0.25731475499273	0.308891486100173	0.240845259822722	0.265883893626359	0.307078370356558	0.275556515270263	0.227610331286431	0.230487095075993
lab02	0.50265805977518	0.496565694471385	0.49656787878271	0.476544861319622	0.493542241986337	0.495807224058972	0.482104839643777	0.50049498044642	0.487364329565219	0.494512407477085	0.234670110382515	0	0.195872512803556	0.280947975776648	0.20275564544322	0.217221863973418	0.343714378374667	0.270110239215057	0.304642226982367	0.189453699341888	0.194156983934253	0.232066642637158	0.229411832598164	0.264440592214981	0.27596206066027	0.317146417210779	0.181426746721304	0.190837161589742	0.285428745527241	0.157315811081318	0.180990610730661	0.161612822969135	0.216326661709749	0.261577869427435	0.228980939485638	0.233147057428561	0.19985921262758	0.212623010846988	0.230094424469951	0.244846182710579	0.170023781703443	0.176932358926101	0.233067525597828	0.230130392369518	0.184268796147273	0.220520141768131	0.275288878084039	0.27623600089838	0.280160419365511	0.181952575045028
lab03	0.509002737879833	0.500315069361517	0.507944021628446	0.488717894787246	0.510138736933483	0.501834573921671	0.494912681666254	0.511901757462069	0.496580087686786	0.508451276705052	0.24009262326288	0.195872512803556	0	0.332199788565665	0.210849466768646	0.21643443278135	0.38321965658966	0.278614099718396	0.294211606098446	0.189852277001908	0.243842681880339	0.224750457111631	0.269740394013029	0.295890946656791	0.302467898547148	0.366134490969917	0.204035902120005	0.229678218938982	0.349424681213657	0.198130234071521	0.255687070466276	0.214615300405861	0.253836323997802	0.302717282807432	0.296399975804738	0.257894628537509	0.255150148909709	0.236817537596699	0.259010579320448	0.25387054801421	0.219360133262915	0.230971403511559	0.29161307762743	0.265018869822007	0.222216064983219	0.262099212178456	0.296474957184187	0.312422085142222	0.258601754019527	0.240782304998537
lab04	0.473997094104956	0.470243732652937	0.457650247506385	0.46244006615256	0.477789774936586	0.468946076570364	0.460789820830558	0.467298453207598	0.466611405413175	0.476202399919037	0.288810740870473	0.280947975776648	0.332199788565665	0	0.25293480219803	0.339548330189223	0.346885005274609	0.351936772545148	0.235688176319623	0.324695663890045	0.300868159846072	0.301782696500817	0.281863843563371	0.260940232761971	0.273782876501839	0.470478862961659	0.275688381138271	0.252742769042672	0.295332209287287	0.24375840964417	0.230815638290057	0.203831845369009	0.234190818853166	0.271922126373238	0.198486924867745	0.342944495663832	0.227651737255909	0.297087630286536	0.26902127146438	0.297262821611634	0.259149269152386	0.252824788268329	0.19841098404942	0.25594476377681	0.263641995467582	0.281822949985803	0.272149988863873	0.197207418698203	0.343293546285194	0.314765501544665
lab05	0.492948289861266	0.487723895431447	0.487725701789612	0.480530230782964	0.501751340137412	0.485422717819192	0.484506218825044	0.494394652153326	0.486133036504062	0.498697172352834	0.208321804757126	0.20275564544322	0.210849466768646	0.25293480219803	0	0.19965750050993	0.319489052666677	0.233520368190746	0.206154161434553	0.191618845422055	0.218399472062737	0.200737536415443	0.209179835522208	0.187448282695452	0.185515436983807	0.412498227892215	0.170572419700322	0.166132309716873	0.270053981126775	0.140200613189826	0.189543169954167	0.148144313425352	0.177883682184607	0.210495760943192	0.23378706918461	0.215821994475966	0.211064967530901	0.189846789515219	0.189431332715718	0.225279331033606	0.171794088202486	0.17745504703324	0.196962716565637	0.233096039725135	0.185887754513575	0.241316669743506	0.255038436585397	0.20362042987664	0.216490272647627	0.227201524371064
lab06	0.541755183681221	0.533067908398495	0.538013773968719	0.524552606717964	0.53949665427403	0.533790724219102	0.529939274908872	0.542956876396597	0.531629350997915	0.539424551085645	0.277049642086437	0.217221863973418	0.21643443278135	0.339548330189223	0.19965750050993	0	0.384888171644688	0.137699721099586	0.331181441195067	0.24216996822867	0.276736411311614	0.283796387500826	0.287055091585435	0.291446887223366	0.290292267084287	0.430280841430779	0.0558294469962151	0.238200441174861	0.367560278805707	0.221159355357996	0.268511282823747	0.228178674291261	0.231030756704557	0.334974362635289	0.314635405586585	0.284972407706161	0.274731525370893	0.242295964854159	0.280897140045355	0.306945093482556	0.250709183504772	0.236137887754204	0.318241839079807	0.266130941827242	0.252668662618239	0.285253122724604	0.268435718685046	0.323713710820348	0.327798088172913	0.303464477315321
lab07	0.518644012765663	0.509389512086549	0.502292378353833	0.50995299678522	0.529697121857003	0.511176732810088	0.507777239747687	0.513423412270947	0.513593140952273	0.528548745200617	0.361890085064126	0.343714378374667	0.38321965658966	0.346885005274609	0.319489052666677	0.384888171644688	0	0.151761760672017	0.398547563210901	0.369563081474928	0.356156430115386	0.343111737560097	0.220107869220858	0.226475020300894	0.191642534516571	0.444763866024611	0.346814349755702	0.335341818594342	0.157113036314577	0.326347924232786	0.331054694761882	0.317135984369064	0.348716672005369	0.203591526513722	0.333549178455502	0.278816978807455	0.332957940342991	0.275949890733566	0.377861588875378	0.340130464905906	0.356937277162885	0.363222682307299	0.330606000846586	0.3730092358871	0.347137575796078	0.376999832982004	0.367694286043562	0.376376945135442	0.395806855347917	0.375346930131449
lab08	0.549484542520561	0.537598240703254	0.538462896276369	0.534171245723442	0.549177053957539	0.540485829547705	0.536045491493712	0.547114982220435	0.538192351033767	0.549322312741302	0.316888680833207	0.270110239215057	0.278614099718396	0.351936772545148	0.233520368190746	0.137699721099586	0.151761760672017	0	0.367939302183437	0.298293056148098	0.31427002617261	0.318240202012227	0.214313400369352	0.22056221634394	0.192855002152571	0.415528257221423	0.147635987376828	0.279832934782622	0.220960866416134	0.270543205267299	0.302607407531706	0.269692866820301	0.27952341292093	0.242132090904218	0.332913694872827	0.251517618280887	0.310298128781555	0.22450219663016	0.330003828962272	0.339434963792938	0.306789347202658	0.294491431256122	0.335219537698091	0.301845264869645	0.302761227364388	0.340347037967426	0.307938031982976	0.358884241508422	0.374615348706951	0.35225895086012
lab09	0.471734608359933	0.464150383856583	0.466412917798661	0.465355223443217	0.489652741002801	0.463903342669116	0.467537641647335	0.469705880338958	0.466480891860889	0.484868864083067	0.27803550155701	0.304642226982367	0.294211606098446	0.235688176319623	0.206154161434553	0.331181441195067	0.398547563210901	0.367939302183437	0	0.300600023810466	0.272997625997795	0.249541130844766	0.294997328061881	0.259274994066306	0.28209453190454	0.521867199011105	0.301029190743776	0.226169566884065	0.370896379808566	0.22116182983819	0.286503578895231	0.227246637800765	0.243029061893964	0.279824637104509	0.290577944246905	0.276303735535865	0.30153029372734	0.268152842530044	0.258968072746922	0.27575018387886	0.251660431839907	0.279084820512778	0.247988493885752	0.324895778599098	0.288589934450164	0.324430351193776	0.329001942060721	0.251896151670176	0.275112844485367	0.329604200025297
lab10	0.512605212846894	0.501213005404458	0.513179548376103	0.487117891154835	0.507188427721007	0.503024034360897	0.496643449719581	0.515723155289889	0.497013464929679	0.507279671202839	0.210325397000649	0.189453699341888	0.189852277001908	0.324695663890045	0.191618845422055	0.24216996822867	0.369563081474928	0.298293056148098	0.300600023810466	0	0.181643912658614	0.177613663647741	0.266139175972059	0.28268315564522	0.274647203018396	0.359069007832235	0.221460134108951	0.178799561469027	0.324328844411934	0.143108675307225	0.205340401341295	0.17064286521137	0.235314054010157	0.26686247315335	0.268761550110754	0.212967539465346	0.218596259327494	0.213557384580736	0.239701266999666	0.206700770957849	0.183126582220645	0.19605961606569	0.255291918097567	0.25854441383831	0.188868156392099	0.213349376657799	0.326200380528365	0.301074758574663	0.20937866110803	0.190068478693193
